,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,projectrank_placing,github_release_downloads,monthly_downloads,trending,dependent_project_count,github_dependent_project_count
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2021-06-02 07:48:39,2021-05-21 20:07:26,6998,309.0,1785.0,40320,5573.0,2019-12-26 15:43:01,4.1.1,11.0,182.0,22,1,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2021-06-14 10:10:40,2021-06-14 10:10:40,11049,593.0,542.0,40289,219.0,2018-04-02 17:18:43,1.2.2,2.0,47.0,21,2,442.0,8.0,,,
2,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2021-06-03 21:54:37,2021-06-03 21:52:26,2321,129.0,190.0,21327,746.0,2018-11-18 11:21:02,0.13.2,3.0,39.0,20,1,,,1.0,,
3,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2021-05-08 07:37:50,2021-04-19 02:53:05,6156,111.0,1559.0,21144,685.0,2020-11-17 05:48:13,1.7.0,15.0,90.0,21,2,174982.0,3976.0,,,
4,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2021-06-02 10:18:13,2019-03-31 22:03:47,8738,1595.0,751.0,20105,203.0,2018-03-19 23:26:21,2.1,3.0,47.0,25,2,967976.0,21999.0,,136.0,136.0
5,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2021-06-13 10:15:12,2021-06-04 03:06:13,7049,824.0,2376.0,18576,17786.0,2020-09-21 21:03:27,6.0.0,9.0,346.0,25,1,48345.0,1028.0,,,
6,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2021-06-11 07:14:55,2021-06-09 21:35:20,4142,83.0,2387.0,16809,1165.0,2021-03-13 01:36:49,0.4,8.0,162.0,26,1,,,,254.0,254.0
7,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2021-06-14 07:37:23,2021-06-14 02:03:45,4922,264.0,3572.0,15273,1592.0,2021-06-01 12:11:59,2.13.0,13.0,225.0,26,1,,,,60.0,60.0
8,pytorch-CycleGAN-and-pix2pix,junyanz pytorch-CycleGAN-and-pix2pix.,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,junyanz/pytorch-CycleGAN-and-pix2pix,./screenshots/pytorch-CycleGAN-and-pix2pix.png,图图转换ImageTranslation,True,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,,2017-04-18 10:33:05,2021-06-01 20:37:51,2020-10-15 22:26:07,4425,341.0,824.0,15208,474.0,,,,58.0,16,1,,,,,
9,labelImg,tzutalin labelImg.,https://github.com/tzutalin/labelImg,tzutalin/labelImg,./screenshots/labelImg.jpeg,目标检测,True,https://github.com/tzutalin/labelImg,MIT,2015-09-17 01:33:59,2021-06-06 14:50:01,2021-06-06 14:50:01,4455,257.0,312.0,14514,403.0,2018-12-03 05:40:38,1.8.1,2.0,90.0,24,2,,,,270.0,270.0
10,openface,cmusatyalab openface.,https://github.com/cmusatyalab/openface,cmusatyalab/openface,./screenshots/openface.jpeg,人脸检测与识别,True,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2021-04-30 20:32:16,2019-11-26 15:56:28,3410,5.0,368.0,14040,734.0,2016-02-25 17:42:46,0.2.1,4.0,30.0,20,2,,,,,
11,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2021-06-11 10:40:46,2021-06-09 12:19:11,2570,671.0,1452.0,12848,,2021-05-26 11:43:06,2.1.1,4.0,44.0,22,1,,,,185.0,185.0
12,facenet,davidsandberg facenet.,https://github.com/davidsandberg/facenet,davidsandberg/facenet,./screenshots/facenet.jpeg,人脸检测与识别,True,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2021-05-21 14:44:56,2018-04-16 17:32:11,4499,470.0,613.0,11845,566.0,,,,36.0,18,3,,,,,
