,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,projectrank_placing,trending,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,updated_github_id
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2021-10-12 16:57:54,2021-10-11 16:29:39,7191,326.0,1843.0,42159,2019-12-26 15:43:01,4.1.1,13.0,188.0,19,2,-3.0,,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2021-10-02 14:15:15,2021-06-14 10:10:40,11433,623.0,549.0,41745,2018-04-02 17:18:43,1.2.2,2.0,47.0,21,2,,219.0,448.0,8.0,,,
2,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2021-10-11 15:46:18,2021-09-25 15:23:01,6447,153.0,1567.0,22240,2020-11-17 05:48:13,1.7.0,15.0,92.0,21,2,,687.0,189193.0,3941.0,,,
3,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2021-06-03 21:54:37,2021-06-03 21:52:26,2361,128.0,193.0,22122,2018-11-18 11:21:02,0.13.2,3.0,39.0,19,1,-1.0,746.0,,,,,
4,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2021-09-22 08:59:20,2019-03-31 22:03:47,9059,1667.0,778.0,20700,2018-03-19 23:26:21,2.1,3.0,47.0,22,2,,203.0,1046527.0,21802.0,,,
5,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2021-10-12 00:57:55,2021-10-12 00:56:52,7477,949.0,2437.0,19340,2020-09-21 21:03:27,6.0.0,9.0,361.0,25,1,,18004.0,51274.0,1005.0,,,
6,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2021-10-12 20:03:36,2021-10-12 19:35:42,4605,123.0,2551.0,18268,2021-07-23 18:55:45,0.5,9.0,188.0,23,2,-3.0,,,,355.0,355.0,
7,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2021-10-13 06:54:15,2021-10-13 06:54:15,3338,861.0,2226.0,16899,2021-05-26 11:43:06,2.1.1,4.0,53.0,23,1,,,,,340.0,340.0,
8,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2021-10-13 06:51:29,2021-10-12 01:42:34,5425,267.0,4214.0,16747,2021-09-28 13:18:16,2.17.0,18.0,267.0,26,1,,1776.0,,,135.0,135.0,
9,pytorch-CycleGAN-and-pix2pix,junyanz pytorch-CycleGAN-and-pix2pix.,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,junyanz/pytorch-CycleGAN-and-pix2pix,./screenshots/pytorch-CycleGAN-and-pix2pix.png,图图转换ImageTranslation,True,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,,2017-04-18 10:33:05,2021-09-30 17:54:49,2021-09-30 17:54:49,4633,368.0,833.0,15958,,,,64.0,16,1,,501.0,,,,,
