,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,commit_count,github_release_downloads,monthly_downloads,trending,updated_github_id
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2022-10-14 22:16:55,2022-10-09 08:16:47,7721,359.0,2057.0,47046,2022-07-06 20:22:26,5.2.0,22.0,1.0,1.0,190.0,20,2,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2022-09-21 14:21:04,2022-06-10 09:12:18,12263,664.0,569.0,46104,2018-04-02 17:18:43,1.2.2,2.0,,,54.0,21,2,238.0,468.0,7.0,,
2,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2022-10-17 11:59:31,2022-10-17 09:21:22,5145,1025.0,4521.0,25444,2022-08-24 09:04:27,2.6.0,6.0,884.0,884.0,115.0,24,1,,,,,
3,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2022-09-30 05:20:21,2022-09-30 04:54:10,7092,186.0,1636.0,25127,2020-11-17 05:48:13,1.7.0,15.0,,,100.0,21,2,703.0,233696.0,3894.0,,
4,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2022-07-06 01:48:02,2022-07-06 01:47:27,2597,139.0,201.0,24958,2018-11-18 11:21:02,0.13.2,3.0,,,40.0,19,2,752.0,,,,
5,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2022-10-13 11:24:22,2022-09-29 23:10:09,5802,243.0,2890.0,22547,2021-11-15 22:08:26,0.6,10.0,748.0,748.0,216.0,22,2,,,,-1.0,
6,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2022-10-01 10:00:00,2019-03-31 22:03:47,9696,1791.0,823.0,22302,2018-03-19 23:26:21,2.1,3.0,,,47.0,22,2,203.0,1261625.0,21027.0,,
7,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2022-10-17 09:05:40,2022-10-11 09:16:07,8541,618.0,3120.0,21734,2021-12-28 13:36:17,7.0.0,10.0,,,380.0,26,1,18099.0,59303.0,941.0,,
8,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2022-10-17 00:36:03,2022-09-16 08:23:46,7106,609.0,5790.0,21720,2022-09-16 08:27:32,2.25.2,38.0,652.0,652.0,364.0,27,1,2132.0,,,,
9,pytorch-image-models,rwightman pytorch-image-models.,https://github.com/rwightman/pytorch-image-models,rwightman/pytorch-image-models,./screenshots/pytorch-image-models.png,图像分类,True,https://github.com/rwightman/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12,2022-10-17 08:42:35,2022-10-17 03:51:20,3470,59.0,536.0,21395,2022-10-03 21:44:35,0.6.11,36.0,5170.0,5170.0,80.0,29,1,,2114115.0,51563.0,-1.0,
10,labelImg,tzutalin labelImg.,https://github.com/tzutalin/labelImg,tzutalin/labelImg,./screenshots/labelImg.jpeg,目标检测,True,https://github.com/heartexlabs/labelImg,MIT,2015-09-17 01:33:59,2022-10-06 03:55:26,2022-09-22 22:12:32,5395,357.0,351.0,18530,2018-12-03 05:40:38,1.8.1,2.0,627.0,627.0,109.0,24,1,449.0,,,,heartexlabs/labelImg
