,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,projectrank_placing,trending,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,updated_github_id
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2022-02-07 00:52:53,2022-02-07 00:52:53,7395,343.0,1924.0,43838,2022-01-07 12:48:14,5.0.1,20.0,190.0,20,2,1.0,,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2021-12-04 17:06:24,2021-06-14 10:10:40,11713,646.0,554.0,43035,2018-04-02 17:18:43,1.2.2,2.0,47.0,21,2,,219.0,453.0,7.0,,,
2,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2022-01-09 17:08:33,2022-01-09 16:40:43,6693,121.0,1627.0,23259,2020-11-17 05:48:13,1.7.0,15.0,94.0,21,2,,692.0,202938.0,3902.0,,,
3,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2021-10-30 17:37:48,2021-06-03 21:52:26,2443,132.0,196.0,23100,2018-11-18 11:21:02,0.13.2,3.0,39.0,19,2,,746.0,,,,,
4,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2022-01-02 23:39:40,2019-03-31 22:03:47,9305,1712.0,795.0,21214,2018-03-19 23:26:21,2.1,3.0,47.0,22,2,,203.0,1116953.0,21479.0,,,
5,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2022-02-07 09:47:35,2021-12-28 13:00:00,7874,1037.0,2454.0,20087,2021-12-28 13:36:17,7.0.0,10.0,367.0,26,1,1.0,18065.0,53741.0,977.0,,,
6,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2022-02-03 11:08:53,2022-02-03 08:18:37,5082,131.0,2695.0,19759,2021-11-15 22:08:26,0.6,10.0,198.0,23,2,,,,,493.0,493.0,
7,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2022-02-07 09:01:10,2022-01-28 06:37:22,3843,893.0,2914.0,18795,2021-05-26 11:43:06,2.1.1,4.0,77.0,22,1,-1.0,,,,534.0,534.0,
8,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2022-02-07 08:29:20,2021-12-30 09:22:44,5982,448.0,4668.0,18201,2021-12-30 09:27:38,2.20.0,28.0,294.0,27,1,1.0,1885.0,,,244.0,244.0,
9,pytorch-CycleGAN-and-pix2pix,junyanz pytorch-CycleGAN-and-pix2pix.,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,junyanz/pytorch-CycleGAN-and-pix2pix,./screenshots/pytorch-CycleGAN-and-pix2pix.png,图图转换ImageTranslation,True,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,,2017-04-18 10:33:05,2022-01-14 00:08:10,2022-01-14 00:08:06,4871,366.0,873.0,16787,,,,65.0,16,1,,505.0,,,,,
