,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,commit_count,github_release_downloads,monthly_downloads,trending,updated_github_id
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2022-07-25 08:54:06,2022-07-20 21:36:59,7643,338.0,2031.0,46029,2022-07-06 20:22:26,5.2.0,22.0,1.0,1.0,201.0,20,2,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2022-07-03 20:59:24,2022-06-10 09:12:18,12106,658.0,563.0,45259,2018-04-02 17:18:43,1.2.2,2.0,,,54.0,21,2,238.0,466.0,7.0,,
2,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2022-06-20 11:16:19,2022-06-19 20:28:30,6968,162.0,1635.0,24594,2020-11-17 05:48:13,1.7.0,15.0,,,99.0,21,2,700.0,223747.0,3925.0,,
3,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2022-07-06 01:48:02,2022-07-06 01:47:27,2556,137.0,200.0,24284,2018-11-18 11:21:02,0.13.2,3.0,,,40.0,20,2,752.0,,,,
4,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2022-07-25 06:38:03,2022-07-21 01:55:42,4756,1182.0,3700.0,23590,2022-05-09 11:48:13,2.5.0,5.0,735.0,735.0,118.0,23,1,,,,,
5,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2022-07-13 14:24:19,2019-03-31 22:03:47,9618,1770.0,817.0,21990,2018-03-19 23:26:21,2.1,3.0,,,47.0,22,2,203.0,1220003.0,21403.0,,
6,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2022-07-22 00:02:43,2022-07-16 02:42:36,5585,211.0,2845.0,21657,2021-11-15 22:08:26,0.6,10.0,675.0,675.0,212.0,22,2,,,,-1.0,
7,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2022-07-25 06:37:50,2022-07-22 05:54:09,8353,1136.0,2512.0,21176,2021-12-28 13:36:17,7.0.0,10.0,,,376.0,26,1,18083.0,57447.0,957.0,,
8,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2022-07-25 11:13:30,2022-06-29 03:06:58,6770,558.0,5540.0,20667,2022-06-01 14:16:46,2.25.0,34.0,495.0,495.0,343.0,27,1,2092.0,,,,
9,pytorch-image-models,rwightman pytorch-image-models.,https://github.com/rwightman/pytorch-image-models,rwightman/pytorch-image-models,./screenshots/pytorch-image-models.png,图像分类,True,https://github.com/rwightman/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12,2022-07-25 04:03:01,2022-07-25 04:03:01,3224,50.0,491.0,19868,2022-07-10 23:53:09,0.6.5,32.0,3851.0,3851.0,79.0,32,1,1457.0,1496468.0,39380.0,2.0,
10,pytorch-CycleGAN-and-pix2pix,junyanz pytorch-CycleGAN-and-pix2pix.,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,junyanz/pytorch-CycleGAN-and-pix2pix,./screenshots/pytorch-CycleGAN-and-pix2pix.png,图图转换ImageTranslation,True,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,,2017-04-18 10:33:05,2022-07-17 09:19:28,2022-07-04 16:50:44,5209,419.0,897.0,18017,,,,,,66.0,16,1,507.0,,,,
11,labelImg,tzutalin labelImg.,https://github.com/tzutalin/labelImg,tzutalin/labelImg,./screenshots/labelImg.jpeg,目标检测,True,https://github.com/heartexlabs/labelImg,MIT,2015-09-17 01:33:59,2022-07-19 13:06:35,2022-07-10 02:53:33,5282,330.0,349.0,17891,2018-12-03 05:40:38,1.8.1,2.0,561.0,561.0,108.0,24,1,448.0,,,,heartexlabs/labelImg
