,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,commit_count,github_release_downloads,monthly_downloads,trending,updated_github_id
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2023-06-28 09:37:15,2023-06-28 09:37:15,8121,379.0,2145.0,51883,2023-04-01 19:55:17,5.3.1,25.0,2.0,2.0,198.0,21,2,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2023-05-23 09:52:12,2022-06-10 09:12:18,12684,700.0,582.0,48686,2018-04-02 17:18:43,1.2.2,2.0,1329.0,1329.0,54.0,26,1,238.0,1105.0,14.0,5.0,
2,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2023-06-30 03:59:42,2023-06-30 03:59:38,6288,1696.0,5760.0,31421,2022-08-24 09:04:27,2.6.0,6.0,1537.0,1537.0,132.0,23,1,,,,,
3,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2023-06-22 02:27:03,2023-06-22 02:27:02,7373,240.0,1645.0,27411,2020-11-17 05:48:13,1.7.0,15.0,,,104.0,21,2,708.0,261035.0,3783.0,,
4,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2023-05-04 00:50:48,2023-02-23 01:32:03,2669,147.0,204.0,26361,2018-11-18 11:21:02,0.13.2,3.0,,,41.0,20,2,756.0,,,,
5,pytorch-image-models,rwightman pytorch-image-models.,https://github.com/rwightman/pytorch-image-models,rwightman/pytorch-image-models,./screenshots/pytorch-image-models.png,图像分类,True,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12,2023-06-27 16:07:26,2023-06-24 05:56:08,4102,67.0,684.0,25878,2023-05-14 15:08:21,0.9.2,46.0,,,102.0,24,1,,4834582.0,96691.0,-6.0,huggingface/pytorch-image-models
6,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2023-07-03 09:30:14,2023-06-30 02:08:58,6470,317.0,3002.0,25415,2021-11-15 22:08:26,0.6,10.0,1235.0,1235.0,254.0,23,1,,,,,
7,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2023-06-30 07:43:56,2023-06-30 07:37:44,7867,749.0,6430.0,24784,2023-06-30 07:41:30,3.1.0,51.0,,,411.0,23,1,2198.0,,,-3.0,
8,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2023-05-14 19:19:56,2019-03-31 22:03:47,9979,1841.0,840.0,23194,2018-03-19 23:26:21,2.1,3.0,,,47.0,22,2,203.0,1381616.0,20023.0,,
9,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2023-06-28 03:16:17,2023-04-28 00:52:48,8922,541.0,3486.0,22972,2022-12-25 10:21:56,8.0.0,11.0,,,403.0,26,1,19204.0,62483.0,867.0,,
10,pytorch-CycleGAN-and-pix2pix,junyanz pytorch-CycleGAN-and-pix2pix.,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,junyanz/pytorch-CycleGAN-and-pix2pix,./screenshots/pytorch-CycleGAN-and-pix2pix.png,图图转换ImageTranslation,True,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,,2017-04-18 10:33:05,2023-06-03 18:28:28,2023-03-14 20:28:49,5690,480.0,936.0,20193,,,,,,70.0,16,1,525.0,,,,
