,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,projectrank_placing,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count
47,srgan,tensorlayer srgan.,https://github.com/tensorlayer/srgan,tensorlayer/srgan,./screenshots/srgan.png,图像超分辨率,True,https://github.com/tensorlayer/srgan,,2017-04-20 17:08:27,2020-12-01 13:48:24,2020-02-25 10:47:53,704,122.0,100.0,2498,116.0,2019-07-28 14:45:22,1.4.1,9.0,8.0,14,3,4635.0,100.0,,
48,CHINESE-OCR,xiaofengShi CHINESE-OCR.,https://github.com/xiaofengShi/CHINESE-OCR,xiaofengShi/CHINESE-OCR,./screenshots/CHINESE-OCR.png,OCR文字识别,True,https://github.com/xiaofengShi/CHINESE-OCR,,2018-04-14 14:32:16,2019-08-13 03:48:30,2019-07-06 08:11:15,877,143.0,20.0,2459,25.0,,,,2.0,10,3,,,,
49,chinese_ocr,YCG09 chinese_ocr.,https://github.com/YCG09/chinese_ocr,YCG09/chinese_ocr,./screenshots/chinese_ocr.png,OCR文字识别,True,https://github.com/YCG09/chinese_ocr,Apache-2.0,2018-03-16 06:52:08,2019-10-08 03:48:03,2019-10-08 03:48:28,1015,258.0,109.0,2363,13.0,,,,,12,3,,,,
50,NVlabs-MUNIT,NVlabs MUNIT.,https://github.com/NVlabs/MUNIT,NVlabs/MUNIT,./screenshots/NVlabs-MUNIT.png,图图转换ImageTranslation,True,https://github.com/NVlabs/MUNIT,,2018-03-30 21:56:14,2021-04-21 20:53:31,2021-04-21 20:53:31,441,49.0,39.0,2270,86.0,,,1.0,5.0,12,3,,,,
51,deep-text-recognition-benchmark,clovaai deep-text-recognition-benchmark.,https://github.com/clovaai/deep-text-recognition-benchmark,clovaai/deep-text-recognition-benchmark,./screenshots/chinese_ocr.png,OCR文字识别,True,https://github.com/clovaai/deep-text-recognition-benchmark,Apache-2.0,2019-04-03 07:24:05,2021-01-25 09:48:52,2020-12-11 03:12:52,704,109.0,142.0,2226,146.0,,,,13.0,13,3,,,,
52,pytorch-generative-model-collections,znxlwm pytorch-generative-model-collections.,https://github.com/znxlwm/pytorch-generative-model-collections,znxlwm/pytorch-generative-model-collections,./screenshots/pytorch-generative-model-collections.png,生成对抗网络GAN,True,https://github.com/znxlwm/pytorch-generative-model-collections,,2017-08-31 03:58:25,2020-04-12 11:55:29,2018-06-12 09:57:00,486,22.0,4.0,2214,87.0,,,,2.0,10,3,,,,
53,ctrip-OCR,ctripcorp C-OCR.,https://github.com/ctripcorp/C-OCR,ctripcorp/C-OCR,./screenshots/C-OCR.png,OCR文字识别,True,https://github.com/ctripcorp/C-OCR,,2019-04-11 06:07:08,2019-05-08 09:56:50,2019-05-08 09:56:49,524,15.0,2.0,2128,11.0,,,,,10,3,,,,
54,UGATIT-pytorch,znxlwm UGATIT-pytorch.,https://github.com/znxlwm/UGATIT-pytorch,znxlwm/UGATIT-pytorch,./screenshots/UGATIT-pytorch.png,图图转换ImageTranslation,True,https://github.com/znxlwm/UGATIT-pytorch,MIT,2019-07-29 07:44:56,2020-02-29 09:50:51,2019-10-15 02:58:17,425,41.0,21.0,2116,17.0,,,,2.0,11,3,,,,
55,image-segmentation-keras,divamgupta image-segmentation-keras.,https://github.com/divamgupta/image-segmentation-keras,divamgupta/image-segmentation-keras,./screenshots/image-segmentation-keras.png,图像分割,True,https://github.com/divamgupta/image-segmentation-keras,MIT,2017-03-20 20:48:54,2021-03-31 20:44:02,2021-03-31 20:44:01,840,96.0,167.0,2071,235.0,,,1.0,16.0,16,2,1151.0,47.0,,
56,captcha_break,ypwhs captcha_break.,https://github.com/ypwhs/captcha_break,ypwhs/captcha_break,./screenshots/captcha_break.png,OCR文字识别,True,https://github.com/ypwhs/captcha_break,MIT,2017-02-21 14:04:20,2020-05-17 04:03:53,2020-01-10 13:03:53,563,43.0,18.0,2065,12.0,2019-06-18 13:05:05,2.0,2.0,2.0,12,3,337.0,15.0,,
57,facenet-pytorch,timesler facenet-pytorch.,https://github.com/timesler/facenet-pytorch,timesler/facenet-pytorch,./screenshots/facenet-pytorch.png,人脸检测与识别,True,https://github.com/timesler/facenet-pytorch,MIT,2019-05-25 01:29:24,2021-04-27 06:05:32,2021-04-27 06:05:32,434,35.0,86.0,2027,233.0,2020-09-07 23:53:20,2.4.1,6.0,14.0,24,1,84987.0,4999.0,338.0,338.0
58,BasicSR,xinntao BasicSR.,https://github.com/xinntao/BasicSR,xinntao/BasicSR,./screenshots/BasicSR.png,图像超分辨率,True,https://github.com/xinntao/BasicSR,Apache-2.0,2018-04-19 18:58:00,2021-04-28 09:28:20,2021-04-28 09:28:20,467,152.0,183.0,1895,348.0,2020-11-29 06:14:32,1.2.0,6.0,13.0,18,2,,,,
59,captcha_trainer,kerlomz captcha_trainer.,https://github.com/kerlomz/captcha_trainer,kerlomz/captcha_trainer,./screenshots/captcha_trainer.png,OCR文字识别,True,https://github.com/kerlomz/captcha_trainer,Apache-2.0,2018-08-17 06:17:47,2021-04-03 08:49:31,2021-04-03 08:49:22,549,41.0,32.0,1893,194.0,2020-04-14 18:17:06,1.0,1.0,4.0,15,2,,,,
60,ObjectDetection-OneStageDet,Tencent ObjectDetection-OneStageDet.,https://github.com/Tencent/ObjectDetection-OneStageDet,Tencent/ObjectDetection-OneStageDet,./screenshots/ObjectDetection-OneStageDet.png,目标检测,True,https://github.com/Tencent/ObjectDetection-OneStageDet,,2018-12-19 04:01:16,2020-06-03 07:39:32,2020-06-03 07:39:31,488,48.0,52.0,1893,3.0,,,,2.0,9,3,,,,
61,AutonomousDrivingCookbook,microsoft AutonomousDrivingCookbook.,https://github.com/microsoft/AutonomousDrivingCookbook,microsoft/AutonomousDrivingCookbook,./screenshots/AutonomousDrivingCookbook.png,others,True,https://github.com/microsoft/AutonomousDrivingCookbook,MIT,2017-11-30 20:51:02,2019-03-15 04:17:31,2018-08-24 17:12:26,458,29.0,85.0,1818,46.0,,,,5.0,13,3,,,,
62,awesome-image-classification,weiaicunzai awesome-image-classification.,https://github.com/weiaicunzai/awesome-image-classification,weiaicunzai/awesome-image-classification,./screenshots/awesome-image-classification.png,图像分类,True,https://github.com/weiaicunzai/awesome-image-classification,,2012-05-23 14:07:04,2020-09-17 14:00:53,2020-09-17 14:00:01,464,1.0,,1763,32.0,,,,2.0,10,3,,,,
