,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,commit_count,github_release_downloads,monthly_downloads,updated_github_id,trending
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2023-04-04 15:16:53,2023-04-04 15:16:53,7982,379.0,2113.0,50408,2023-04-01 19:55:17,5.3.1,25.0,1.0,1.0,198.0,20,2,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2023-04-11 14:10:35,2022-06-10 09:12:18,12568,690.0,574.0,47917,2018-04-02 17:18:43,1.2.2,2.0,,,54.0,21,2,238.0,1102.0,15.0,,
2,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2023-04-17 01:32:17,2023-04-10 08:30:54,6009,1464.0,5550.0,29627,2022-08-24 09:04:27,2.6.0,6.0,1287.0,1287.0,127.0,23,1,,,,,
3,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2023-04-14 14:10:04,2022-10-23 22:36:13,7311,218.0,1643.0,26757,2020-11-17 05:48:13,1.7.0,15.0,,,101.0,21,2,705.0,252026.0,3818.0,,
4,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2023-02-23 01:32:03,2023-02-23 01:32:03,2649,146.0,204.0,26007,2018-11-18 11:21:02,0.13.2,3.0,,,41.0,20,2,756.0,,,,
5,pytorch-image-models,rwightman pytorch-image-models.,https://github.com/rwightman/pytorch-image-models,rwightman/pytorch-image-models,./screenshots/pytorch-image-models.png,图像分类,True,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12,2023-04-16 15:27:19,2023-04-15 00:59:23,3986,56.0,649.0,24791,2023-04-16 15:27:19,0.6.13,43.0,,,97.0,24,1,,3928463.0,83584.0,huggingface/pytorch-image-models,-6.0
6,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2023-04-16 11:19:48,2023-04-14 23:21:28,6309,291.0,2971.0,24400,2021-11-15 22:08:26,0.6,10.0,1020.0,1020.0,245.0,23,1,,,,,
7,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2023-04-17 11:02:33,2023-04-06 06:55:28,7721,552.0,6332.0,23780,2023-04-06 07:26:03,3.0.0,50.0,,,394.0,23,1,2198.0,,,,-3.0
8,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2023-03-11 12:16:51,2019-03-31 22:03:47,9891,1827.0,837.0,22936,2018-03-19 23:26:21,2.1,3.0,,,47.0,22,2,203.0,1348494.0,20431.0,,
9,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2023-04-14 10:22:07,2023-04-13 11:40:53,8814,478.0,3453.0,22598,2022-12-25 10:21:56,8.0.0,11.0,,,397.0,27,1,19201.0,61936.0,897.0,,
