,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,projectrank_placing,commit_count,github_release_downloads,monthly_downloads,trending,dependent_project_count,github_dependent_project_count,updated_github_id
10,pytorch-CycleGAN-and-pix2pix,junyanz pytorch-CycleGAN-and-pix2pix.,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,junyanz/pytorch-CycleGAN-and-pix2pix,./screenshots/pytorch-CycleGAN-and-pix2pix.png,图图转换ImageTranslation,True,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,,2017-04-18 10:33:05,2022-02-23 04:23:03,2022-01-14 00:08:06,4969,376.0,884.0,17110,,,,65.0,16,1,505.0,,,,,,
11,labelImg,tzutalin labelImg.,https://github.com/tzutalin/labelImg,tzutalin/labelImg,./screenshots/labelImg.jpeg,目标检测,True,https://github.com/tzutalin/labelImg,MIT,2015-09-17 01:33:59,2022-03-16 07:28:47,2022-03-09 05:53:45,5049,293.0,340.0,16844,2018-12-03 05:40:38,1.8.1,2.0,102.0,24,1,426.0,,,,453.0,453.0,
12,openface,cmusatyalab openface.,https://github.com/cmusatyalab/openface,cmusatyalab/openface,./screenshots/openface.jpeg,人脸检测与识别,True,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2022-02-11 03:38:54,2019-11-26 15:56:28,3432,7.0,369.0,14324,2016-02-25 17:42:46,0.2.1,4.0,30.0,20,2,734.0,,,,,,
13,EasyOCR,JaidedAI EasyOCR.,https://github.com/JaidedAI/EasyOCR,JaidedAI/EasyOCR,./screenshots/EasyOCR.png,OCR文字识别,True,https://github.com/JaidedAI/EasyOCR,Apache-2.0,2020-03-14 11:46:39,2022-03-17 15:43:02,2022-03-02 09:22:29,1873,80.0,442.0,14071,2021-09-11 09:36:28,1.4.1,15.0,95.0,30,1,490.0,1288930.0,61377.0,,956.0,956.0,
14,facenet,davidsandberg facenet.,https://github.com/davidsandberg/facenet,davidsandberg/facenet,./screenshots/facenet.jpeg,人脸检测与识别,True,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2022-02-09 23:31:54,2018-04-16 17:32:11,4584,483.0,615.0,12356,,,,36.0,18,3,566.0,,,,,,
15,the-gan-zoo,hindupuravinash the-gan-zoo.,https://github.com/hindupuravinash/the-gan-zoo,hindupuravinash/the-gan-zoo,./screenshots/the-gan-zoo.jpeg,生成对抗网络GAN,True,https://github.com/hindupuravinash/the-gan-zoo,MIT,2017-04-14 16:45:24,2022-03-11 23:31:23,2018-09-30 20:02:46,2277,15.0,16.0,11816,,,,23.0,18,2,175.0,,,,,,
16,PyTorch-GAN,eriklindernoren PyTorch-GAN.,https://github.com/eriklindernoren/PyTorch-GAN,eriklindernoren/PyTorch-GAN,./screenshots/PyTorch-GAN.png,生成对抗网络GAN,True,https://github.com/eriklindernoren/PyTorch-GAN,MIT,2018-04-21 13:06:40,2022-03-09 08:10:12,2021-01-06 16:32:26,3194,89.0,45.0,11598,,,,10.0,17,2,193.0,,,,,,
17,nni,microsoft nni.,https://github.com/microsoft/nni,microsoft/nni,./screenshots/nni.png,模型压缩与优化,True,https://github.com/microsoft/nni,MIT,2018-06-01 05:51:44,2022-03-21 10:30:49,2022-03-20 17:40:31,1546,269.0,1265.0,11177,2022-02-18 09:34:19,2.6.1,34.0,160.0,27,1,2518.0,,,2.0,207.0,207.0,
18,libfacedetection,ShiqiYu libfacedetection.,https://github.com/ShiqiYu/libfacedetection,ShiqiYu/libfacedetection,./screenshots/libfacedetection.png,人脸检测与识别,True,https://github.com/ShiqiYu/libfacedetection,,2015-01-20 07:47:20,2021-11-20 16:12:16,2021-11-20 16:12:16,2889,37.0,256.0,10979,2021-09-24 16:29:39,3.0,2.0,23.0,16,3,189.0,,,-2.0,,,
19,deep_learning_object_detection,hoya012 deep_learning_object_detection.,https://github.com/hoya012/deep_learning_object_detection,hoya012/deep_learning_object_detection,./screenshots/deep_learning_object_detection.png,目标检测,True,https://github.com/hoya012/deep_learning_object_detection,,2018-09-18 01:37:58,2021-11-17 07:19:22,2021-11-17 07:19:22,2744,4.0,23.0,10506,,,,9.0,13,3,144.0,,,-1.0,,,
