,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,commit_count,github_release_downloads,monthly_downloads,trending,updated_github_id
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2022-06-26 17:28:22,2022-06-26 17:27:48,7606,335.0,2016.0,45692,2022-03-01 16:33:53,5.1.0,21.0,1.0,1.0,200.0,20,2,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2022-06-10 09:12:19,2022-06-10 09:12:18,12062,655.0,560.0,45012,2018-04-02 17:18:43,1.2.2,2.0,,,54.0,21,2,238.0,465.0,7.0,,
2,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2022-06-20 11:16:19,2022-06-19 20:28:30,6939,157.0,1634.0,24439,2020-11-17 05:48:13,1.7.0,15.0,,,99.0,21,2,700.0,219351.0,3916.0,,
3,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2021-10-30 17:37:48,2021-06-03 21:52:26,2546,137.0,200.0,24117,2018-11-18 11:21:02,0.13.2,3.0,,,39.0,19,1,746.0,,,,
4,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2022-06-27 11:54:49,2022-06-27 11:54:45,4620,1107.0,3583.0,22951,2022-05-09 11:48:13,2.5.0,5.0,697.0,697.0,109.0,23,1,,,,,
5,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2022-06-16 09:49:50,2019-03-31 22:03:47,9593,1762.0,817.0,21867,2018-03-19 23:26:21,2.1,3.0,,,47.0,22,2,203.0,1203566.0,21492.0,,
6,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2022-06-23 23:31:38,2022-06-16 03:34:41,5496,183.0,2837.0,21318,2021-11-15 22:08:26,0.6,10.0,645.0,645.0,208.0,22,2,,,,-1.0,
7,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2022-06-27 02:34:41,2022-06-22 06:08:09,8269,1128.0,2496.0,20982,2021-12-28 13:36:17,7.0.0,10.0,,,376.0,26,1,18080.0,56765.0,962.0,,
8,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2022-06-27 11:30:02,2022-06-01 14:14:31,6644,559.0,5422.0,20208,2022-06-01 14:16:46,2.25.0,34.0,437.0,437.0,343.0,27,1,2091.0,,,,
9,pytorch-image-models,rwightman pytorch-image-models.,https://github.com/rwightman/pytorch-image-models,rwightman/pytorch-image-models,./screenshots/pytorch-image-models.png,图像分类,True,https://github.com/rwightman/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12,2022-06-25 14:37:59,2022-06-25 14:37:59,3132,56.0,462.0,19309,2022-04-03 22:14:28,0.1-weights-swin2,31.0,3470.0,3470.0,76.0,30,1,1400.0,1364381.0,36875.0,,
