,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,trending,commit_count,github_release_downloads,monthly_downloads,updated_github_id
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2023-11-21 08:30:44,2023-11-21 08:30:33,8362,392.0,2171.0,54987,2023-10-05 19:05:14,5.3.3,27.0,22.0,22.0,205.0,23,2,4.0,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2023-11-06 06:38:09,2022-06-10 09:12:18,12879,717.0,584.0,50379,2018-04-02 17:18:43,1.2.2,2.0,21.0,21.0,54.0,23,2,,238.0,1208.0,15.0,
2,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2023-12-01 02:06:45,2023-12-01 02:06:45,6767,1040.0,7248.0,34941,2023-10-18 12:32:48,2.7.1,8.0,2027.0,2027.0,150.0,25,1,,,,,
3,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2023-11-30 19:55:21,2023-07-15 13:50:23,7444,271.0,1652.0,28774,2020-11-17 05:48:13,1.7.0,15.0,,,105.0,21,2,,709.0,275976.0,3729.0,
4,pytorch-image-models,rwightman pytorch-image-models.,https://github.com/rwightman/pytorch-image-models,rwightman/pytorch-image-models,./screenshots/pytorch-image-models.png,图像分类,True,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12,2023-11-27 20:18:30,2023-11-27 05:06:39,4290,67.0,753.0,27868,2023-11-24 19:09:08,0.9.12,54.0,19447.0,19447.0,124.0,31,1,,,5868858.0,106706.0,huggingface/pytorch-image-models
5,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2023-12-01 20:04:56,2023-11-30 20:11:28,6732,370.0,3031.0,27337,2021-11-15 22:08:26,0.6,10.0,1491.0,1491.0,261.0,23,2,,,,,
6,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2023-05-04 00:50:48,2023-02-23 01:32:03,2687,148.0,205.0,26824,2018-11-18 11:21:02,0.13.2,3.0,,,41.0,19,2,,756.0,,,
7,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2023-11-30 16:48:47,2023-10-12 07:43:04,8093,1113.0,6582.0,26279,2023-10-12 07:45:00,3.2.0,52.0,1951.0,1951.0,440.0,28,1,,2198.0,,,
8,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2023-11-22 07:36:01,2023-07-14 04:15:50,9090,642.0,3544.0,23702,2022-12-25 10:21:56,8.0.0,11.0,,,408.0,26,1,,19208.0,63285.0,821.0,
9,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2023-11-12 21:15:31,2019-03-31 22:03:47,10039,1869.0,847.0,23689,2018-03-19 23:26:21,2.1,3.0,21.0,21.0,47.0,24,1,,203.0,1429700.0,19320.0,
10,pytorch-CycleGAN-and-pix2pix,junyanz pytorch-CycleGAN-and-pix2pix.,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,junyanz/pytorch-CycleGAN-and-pix2pix,./screenshots/pytorch-CycleGAN-and-pix2pix.png,图图转换ImageTranslation,True,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,,2017-04-18 10:33:05,2023-10-24 01:12:34,2023-03-14 20:28:49,5809,504.0,941.0,21081,,,,20.0,20.0,70.0,18,1,,525.0,,,
11,labelImg,tzutalin labelImg.,https://github.com/tzutalin/labelImg,tzutalin/labelImg,./screenshots/labelImg.jpeg,目标检测,True,https://github.com/HumanSignal/labelImg,MIT,2015-09-17 01:33:59,2023-05-31 00:41:28,2022-09-22 22:12:32,5819,398.0,363.0,21055,2018-12-03 05:40:38,1.8.1,2.0,1061.0,1061.0,109.0,24,1,,449.0,,,HumanSignal/labelImg
12,EasyOCR,JaidedAI EasyOCR.,https://github.com/JaidedAI/EasyOCR,JaidedAI/EasyOCR,./screenshots/EasyOCR.png,OCR文字识别,True,https://github.com/JaidedAI/EasyOCR,Apache-2.0,2020-03-14 11:46:39,2023-11-27 16:00:57,2023-09-04 11:42:16,2734,307.0,582.0,20282,2023-09-04 11:53:04,1.7.1,22.0,4455.0,4455.0,128.0,32,1,3.0,615.0,7524676.0,179158.0,
13,Vision-Transformer,lucidrains vit-pytorch.,https://github.com/lucidrains/vit-pytorch,lucidrains/vit-pytorch,./screenshots/Vision-Transformer.png,图像分类,True,https://github.com/lucidrains/vit-pytorch,MIT,2020-10-03 22:47:24,2023-11-28 15:27:10,2023-11-15 00:55:36,2542,109.0,129.0,16075,2023-11-15 00:55:44,1.6.4,100.0,363.0,363.0,20.0,22,2,,,,,
14,PyTorch-GAN,eriklindernoren PyTorch-GAN.,https://github.com/eriklindernoren/PyTorch-GAN,eriklindernoren/PyTorch-GAN,./screenshots/PyTorch-GAN.png,生成对抗网络GAN,True,https://github.com/eriklindernoren/PyTorch-GAN,MIT,2018-04-21 13:06:40,2023-05-24 13:14:03,2021-01-06 16:32:26,3813,106.0,47.0,15038,,,,21.0,21.0,10.0,18,2,,193.0,,,
15,openface,cmusatyalab openface.,https://github.com/cmusatyalab/openface,cmusatyalab/openface,./screenshots/openface.jpeg,人脸检测与识别,True,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2023-10-25 21:16:29,2023-06-14 17:20:41,3483,9.0,370.0,14859,2016-02-25 17:42:46,0.2.1,4.0,68.0,68.0,30.0,23,2,4.0,735.0,,,
16,the-gan-zoo,hindupuravinash the-gan-zoo.,https://github.com/hindupuravinash/the-gan-zoo,hindupuravinash/the-gan-zoo,./screenshots/the-gan-zoo.jpeg,生成对抗网络GAN,True,https://github.com/hindupuravinash/the-gan-zoo,MIT,2017-04-14 16:45:24,2023-10-06 18:30:38,2018-09-30 20:02:46,2482,17.0,17.0,13710,,,,21.0,21.0,23.0,20,1,,175.0,,,
17,nni,microsoft nni.,https://github.com/microsoft/nni,microsoft/nni,./screenshots/nni.png,模型压缩与优化,True,https://github.com/microsoft/nni,MIT,2018-06-01 05:51:44,2023-10-30 04:23:19,2023-10-26 05:31:53,1769,339.0,1675.0,13432,2023-09-14 12:12:06,3.0,40.0,519.0,519.0,192.0,26,1,,3012.0,,,
18,facenet,davidsandberg facenet.,https://github.com/davidsandberg/facenet,davidsandberg/facenet,./screenshots/facenet.jpeg,人脸检测与识别,True,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2023-07-24 12:43:21,2018-04-16 17:32:11,4665,498.0,619.0,13301,,,,,,36.0,17,3,-1.0,566.0,,,
19,facebookresearch-detr,facebookresearch detr.,https://github.com/facebookresearch/detr,facebookresearch/detr,./screenshots/facebookresearch-detr.png,目标检测,True,https://github.com/facebookresearch/detr,Apache-2.0,2020-05-26 23:54:52,2023-10-26 13:08:14,2023-02-07 10:12:31,2114,235.0,284.0,12168,2020-06-29 16:41:01,0.2,1.0,21.0,21.0,26.0,19,3,,42.0,,,
20,libfacedetection,ShiqiYu libfacedetection.,https://github.com/ShiqiYu/libfacedetection,ShiqiYu/libfacedetection,./screenshots/libfacedetection.png,人脸检测与识别,True,https://github.com/ShiqiYu/libfacedetection,,2015-01-20 07:47:20,2023-08-01 09:55:36,2023-08-01 09:55:36,2973,48.0,272.0,11840,2021-09-24 16:29:39,3.0,2.0,21.0,21.0,23.0,18,3,,208.0,,,
21,PaddleDetection,PaddleDetection.,https://github.com/PaddlePaddle/PaddleDetection,PaddlePaddle/PaddleDetection,./screenshots/PaddleDetection.jpeg,目标检测,True,https://github.com/PaddlePaddle/PaddleDetection,Apache-2.0,2019-10-25 07:21:14,2023-12-03 19:01:27,2023-09-27 02:38:06,2705,1288.0,3843.0,11522,2023-10-19 03:47:18,2.7.0,9.0,,,157.0,20,2,,,,,
22,ganhacks,soumith ganhacks.,https://github.com/soumith/ganhacks,soumith/ganhacks,./screenshots/ganhacks.png,生成对抗网络GAN,True,https://github.com/soumith/ganhacks,,2016-12-09 16:09:27,2022-01-09 06:29:17,2020-03-05 00:50:04,1648,53.0,15.0,11191,,,,21.0,21.0,3.0,14,3,,6.0,,,
23,deep_learning_object_detection,hoya012 deep_learning_object_detection.,https://github.com/hoya012/deep_learning_object_detection,hoya012/deep_learning_object_detection,./screenshots/deep_learning_object_detection.png,目标检测,True,https://github.com/hoya012/deep_learning_object_detection,,2018-09-18 01:37:58,2022-10-19 08:10:29,2021-11-17 07:19:22,2752,4.0,23.0,11152,,,,,,9.0,13,3,-1.0,144.0,,,
24,chineseocr_lite,DayBreak-u chineseocr_lite.,https://github.com/DayBreak-u/chineseocr_lite,DayBreak-u/chineseocr_lite,./screenshots/chineseocr_lite.png,OCR文字识别,True,https://github.com/DayBreak-u/chineseocr_lite,GPL-2.0,2020-02-27 10:01:29,2023-08-14 21:55:50,2023-05-20 22:25:02,2112,233.0,123.0,11121,,,,,,14.0,14,2,,34.0,,,
25,awesome-semantic-segmentation,awesome-semantic-segmentation.,https://github.com/mrgloom/awesome-semantic-segmentation,mrgloom/awesome-semantic-segmentation,./screenshots/awesome-semantic-segmentation.jpeg,图像分割,True,https://github.com/mrgloom/awesome-semantic-segmentation,,2015-10-03 10:07:34,2021-05-08 13:40:11,2021-03-08 14:36:09,2358,6.0,19.0,10155,,,,20.0,20.0,16.0,16,3,,417.0,,,
26,carla,carla-simulator carla.,https://github.com/carla-simulator/carla,carla-simulator/carla,./screenshots/carla.jpeg,自动驾驶,True,https://github.com/carla-simulator/carla,,2017-10-24 09:06:23,2023-12-01 14:22:03,2023-11-10 11:25:48,3029,932.0,3807.0,9942,2023-11-11 12:51:52,0.9.15,26.0,593.0,593.0,170.0,25,2,,6020.0,,,
27,pix2pix,phillipi pix2pix.,https://github.com/phillipi/pix2pix,phillipi/pix2pix,./screenshots/pix2pix.jpeg,图图转换ImageTranslation,True,https://github.com/phillipi/pix2pix,,2016-11-16 22:48:50,2021-06-06 12:09:47,2020-08-05 01:16:42,1656,87.0,119.0,9758,,,,21.0,21.0,17.0,15,2,,130.0,,,
28,Keras-GAN,eriklindernoren Keras-GAN.,https://github.com/eriklindernoren/Keras-GAN,eriklindernoren/Keras-GAN,./screenshots/Keras-GAN.png,生成对抗网络GAN,True,https://github.com/eriklindernoren/Keras-GAN,MIT,2017-07-11 16:24:53,2022-12-12 05:55:51,2021-01-06 16:32:52,3078,123.0,101.0,9061,,,,21.0,21.0,16.0,18,2,,185.0,,,
