,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,commit_count,github_release_downloads,monthly_downloads,trending,updated_github_id
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2022-06-05 12:46:17,2022-06-05 12:46:17,7578,362.0,1976.0,45441,2022-03-01 16:33:53,5.1.0,21.0,1.0,1.0,196.0,20,2,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2022-04-03 13:40:00,2021-06-14 10:10:40,12016,654.0,559.0,44782,2018-04-02 17:18:43,1.2.2,2.0,,,47.0,21,2,219.0,461.0,7.0,,
2,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2022-05-26 13:16:12,2022-05-17 18:53:03,6919,153.0,1634.0,24314,2020-11-17 05:48:13,1.7.0,15.0,,,98.0,21,2,697.0,217292.0,3880.0,,
3,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2021-10-30 17:37:48,2021-06-03 21:52:26,2545,137.0,201.0,24016,2018-11-18 11:21:02,0.13.2,3.0,,,39.0,19,2,746.0,,,,
4,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2022-06-06 11:48:18,2022-06-06 02:15:08,4509,1082.0,3451.0,22489,2022-05-09 11:48:13,2.5.0,5.0,666.0,666.0,101.0,23,1,,,,,
5,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2022-06-06 02:34:51,2019-03-31 22:03:47,9561,1756.0,815.0,21783,2018-03-19 23:26:21,2.1,3.0,,,47.0,22,2,203.0,1191183.0,21271.0,,
6,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2022-06-05 12:42:43,2022-06-05 06:26:41,5439,165.0,2825.0,21111,2021-11-15 22:08:26,0.6,10.0,627.0,627.0,208.0,22,2,,,,-1.0,
7,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2022-06-02 20:57:12,2022-04-24 02:42:39,8228,1120.0,2493.0,20854,2021-12-28 13:36:17,7.0.0,10.0,,,373.0,26,1,18076.0,56293.0,954.0,,
8,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2022-06-06 09:52:58,2022-06-01 14:14:31,6571,497.0,5378.0,19946,2022-06-01 14:16:46,2.25.0,34.0,398.0,398.0,343.0,27,1,2091.0,,,,
9,pytorch-image-models,rwightman pytorch-image-models.,https://github.com/rwightman/pytorch-image-models,rwightman/pytorch-image-models,./screenshots/pytorch-image-models.png,图像分类,True,https://github.com/rwightman/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12,2022-05-28 10:46:44,2022-05-24 17:40:23,3069,51.0,448.0,18872,2022-04-03 22:14:28,0.1-weights-swin2,31.0,3170.0,3170.0,75.0,30,1,1385.0,1276755.0,34506.0,,
10,pytorch-CycleGAN-and-pix2pix,junyanz pytorch-CycleGAN-and-pix2pix.,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,junyanz/pytorch-CycleGAN-and-pix2pix,./screenshots/pytorch-CycleGAN-and-pix2pix.png,图图转换ImageTranslation,True,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,,2017-04-18 10:33:05,2022-04-28 01:39:02,2022-01-14 00:08:06,5139,397.0,891.0,17701,,,,,,65.0,16,1,505.0,,,,
11,labelImg,tzutalin labelImg.,https://github.com/tzutalin/labelImg,tzutalin/labelImg,./screenshots/labelImg.jpeg,目标检测,True,https://github.com/tzutalin/labelImg,MIT,2015-09-17 01:33:59,2022-05-16 12:28:40,2022-04-30 06:38:55,5222,316.0,341.0,17495,2018-12-03 05:40:38,1.8.1,2.0,529.0,529.0,105.0,24,1,429.0,,,,
12,EasyOCR,JaidedAI EasyOCR.,https://github.com/JaidedAI/EasyOCR,JaidedAI/EasyOCR,./screenshots/EasyOCR.png,OCR文字识别,True,https://github.com/JaidedAI/EasyOCR,Apache-2.0,2020-03-14 11:46:39,2022-06-03 23:50:57,2022-06-03 23:50:56,2041,118.0,450.0,14948,2022-06-02 03:32:56,1.5.0,17.0,1204.0,1204.0,101.0,31,1,512.0,1639538.0,68314.0,2.0,
13,openface,cmusatyalab openface.,https://github.com/cmusatyalab/openface,cmusatyalab/openface,./screenshots/openface.jpeg,人脸检测与识别,True,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2022-05-26 21:07:02,2019-11-26 15:56:28,3446,7.0,369.0,14406,2016-02-25 17:42:46,0.2.1,4.0,,,30.0,20,2,734.0,,,,
14,facenet,davidsandberg facenet.,https://github.com/davidsandberg/facenet,davidsandberg/facenet,./screenshots/facenet.jpeg,人脸检测与识别,True,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2022-05-26 20:13:19,2018-04-16 17:32:11,4599,487.0,615.0,12520,,,,,,36.0,18,3,566.0,,,,
