,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,projectrank_placing,trending,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,updated_github_id
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2022-01-17 08:08:51,2022-01-17 08:08:20,7357,335.0,1913.0,43604,2022-01-07 12:48:14,5.0.1,20.0,190.0,20,2,1.0,,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2021-12-04 17:06:24,2021-06-14 10:10:40,11675,644.0,552.0,42840,2018-04-02 17:18:43,1.2.2,2.0,47.0,21,2,,219.0,453.0,7.0,,,
2,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2022-01-09 17:08:33,2022-01-09 16:40:43,6644,119.0,1626.0,23115,2020-11-17 05:48:13,1.7.0,15.0,94.0,21,2,,692.0,200839.0,3938.0,,,
3,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2021-10-30 17:37:48,2021-06-03 21:52:26,2434,130.0,196.0,22935,2018-11-18 11:21:02,0.13.2,3.0,39.0,19,2,,746.0,,,,,
4,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2022-01-02 23:39:40,2019-03-31 22:03:47,9268,1699.0,795.0,21145,2018-03-19 23:26:21,2.1,3.0,47.0,22,2,,203.0,1106338.0,21692.0,,,
5,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2022-01-13 09:24:11,2021-12-28 13:00:00,7814,1025.0,2452.0,19999,2021-12-28 13:36:17,7.0.0,10.0,367.0,26,1,1.0,18065.0,53436.0,989.0,,,
6,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2022-01-17 06:08:12,2022-01-17 06:08:10,5021,134.0,2673.0,19579,2021-11-15 22:08:26,0.6,10.0,198.0,23,2,,,,,468.0,468.0,
7,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2022-01-17 11:21:43,2022-01-10 09:18:27,3796,922.0,2815.0,18622,2021-05-26 11:43:06,2.1.1,4.0,67.0,22,1,-1.0,,,,495.0,495.0,
8,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2022-01-17 12:09:31,2021-12-30 09:22:44,5893,418.0,4625.0,18012,2021-12-30 09:27:38,2.20.0,28.0,294.0,27,1,1.0,1885.0,,,233.0,233.0,
9,pytorch-CycleGAN-and-pix2pix,junyanz pytorch-CycleGAN-and-pix2pix.,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,junyanz/pytorch-CycleGAN-and-pix2pix,./screenshots/pytorch-CycleGAN-and-pix2pix.png,图图转换ImageTranslation,True,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,,2017-04-18 10:33:05,2022-01-14 00:08:10,2022-01-14 00:08:06,4843,361.0,869.0,16684,,,,65.0,16,1,,505.0,,,,,
10,labelImg,tzutalin labelImg.,https://github.com/tzutalin/labelImg,tzutalin/labelImg,./screenshots/labelImg.jpeg,目标检测,True,https://github.com/tzutalin/labelImg,MIT,2015-09-17 01:33:59,2022-01-05 16:40:13,2021-12-28 17:10:38,4921,285.0,332.0,16313,2018-12-03 05:40:38,1.8.1,2.0,99.0,24,1,,418.0,,,403.0,403.0,
11,pytorch-image-models,rwightman pytorch-image-models.,https://github.com/rwightman/pytorch-image-models,rwightman/pytorch-image-models,./screenshots/pytorch-image-models.png,图像分类,True,https://github.com/rwightman/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12,2022-01-17 05:03:20,2022-01-16 22:20:08,2520,48.0,388.0,15854,2022-01-17 05:03:20,0.5.4,28.0,64.0,31,1,,1250.0,834784.0,26087.0,1762.0,1762.0,
12,openface,cmusatyalab openface.,https://github.com/cmusatyalab/openface,cmusatyalab/openface,./screenshots/openface.jpeg,人脸检测与识别,True,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2021-10-31 16:56:37,2019-11-26 15:56:28,3431,5.0,369.0,14272,2016-02-25 17:42:46,0.2.1,4.0,30.0,19,2,,734.0,,,,,
13,EasyOCR,JaidedAI EasyOCR.,https://github.com/JaidedAI/EasyOCR,JaidedAI/EasyOCR,./screenshots/EasyOCR.png,OCR文字识别,True,https://github.com/JaidedAI/EasyOCR,Apache-2.0,2020-03-14 11:46:39,2022-01-14 14:06:14,2022-01-14 14:06:14,1765,151.0,330.0,13581,2021-09-11 09:36:28,1.4.1,15.0,91.0,29,1,,476.0,988678.0,52035.0,819.0,819.0,
14,facenet,davidsandberg facenet.,https://github.com/davidsandberg/facenet,davidsandberg/facenet,./screenshots/facenet.jpeg,人脸检测与识别,True,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2021-08-25 14:54:49,2018-04-16 17:32:11,4561,482.0,615.0,12248,,,,36.0,17,3,-1.0,566.0,,,,,
15,the-gan-zoo,hindupuravinash the-gan-zoo.,https://github.com/hindupuravinash/the-gan-zoo,hindupuravinash/the-gan-zoo,./screenshots/the-gan-zoo.jpeg,生成对抗网络GAN,True,https://github.com/hindupuravinash/the-gan-zoo,MIT,2017-04-14 16:45:24,2022-01-13 00:54:20,2018-09-30 20:02:46,2246,14.0,16.0,11589,,,,23.0,18,2,,175.0,,,,,
16,PyTorch-GAN,eriklindernoren PyTorch-GAN.,https://github.com/eriklindernoren/PyTorch-GAN,eriklindernoren/PyTorch-GAN,./screenshots/PyTorch-GAN.png,生成对抗网络GAN,True,https://github.com/eriklindernoren/PyTorch-GAN,MIT,2018-04-21 13:06:40,2021-10-19 13:49:07,2021-01-06 16:32:26,3105,83.0,45.0,11139,,,,10.0,16,2,-1.0,193.0,,,,,
17,libfacedetection,ShiqiYu libfacedetection.,https://github.com/ShiqiYu/libfacedetection,ShiqiYu/libfacedetection,./screenshots/libfacedetection.png,人脸检测与识别,True,https://github.com/ShiqiYu/libfacedetection,,2015-01-20 07:47:20,2021-11-20 16:12:16,2021-11-20 16:12:16,2869,38.0,252.0,10890,2021-09-24 16:29:39,3.0,2.0,23.0,18,3,,189.0,,,,,
18,nni,microsoft nni.,https://github.com/microsoft/nni,microsoft/nni,./screenshots/nni.png,模型压缩与优化,True,https://github.com/microsoft/nni,MIT,2018-06-01 05:51:44,2022-01-17 09:57:01,2022-01-17 07:13:27,1488,239.0,1237.0,10853,2021-11-04 00:55:22,2.5,32.0,154.0,25,1,,2463.0,,,169.0,169.0,
19,deep_learning_object_detection,hoya012 deep_learning_object_detection.,https://github.com/hoya012/deep_learning_object_detection,hoya012/deep_learning_object_detection,./screenshots/deep_learning_object_detection.png,目标检测,True,https://github.com/hoya012/deep_learning_object_detection,,2018-09-18 01:37:58,2021-11-17 07:19:22,2021-11-17 07:19:22,2741,4.0,22.0,10395,,,,9.0,14,3,,144.0,,,,,
