,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,commit_count,github_release_downloads,monthly_downloads,trending,updated_github_id
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2022-09-04 07:01:31,2022-09-03 15:40:31,7682,354.0,2041.0,46504,2022-07-06 20:22:26,5.2.0,22.0,1.0,1.0,201.0,20,2,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2022-09-04 18:18:38,2022-06-10 09:12:18,12187,663.0,567.0,45690,2018-04-02 17:18:43,1.2.2,2.0,,,54.0,21,2,238.0,466.0,7.0,,
2,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2022-08-19 15:40:31,2022-06-19 20:28:30,7025,175.0,1635.0,24845,2020-11-17 05:48:13,1.7.0,15.0,,,99.0,21,2,700.0,229908.0,3896.0,,
3,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2022-07-06 01:48:02,2022-07-06 01:47:27,2575,138.0,201.0,24561,2018-11-18 11:21:02,0.13.2,3.0,,,40.0,20,2,752.0,,,,
4,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2022-09-05 11:57:15,2022-09-02 02:56:19,4948,926.0,4284.0,24390,2022-08-24 09:04:27,2.6.0,6.0,798.0,798.0,112.0,23,1,,,,,
5,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2022-09-01 20:42:32,2022-08-28 06:51:41,5681,238.0,2866.0,22131,2021-11-15 22:08:26,0.6,10.0,720.0,720.0,214.0,22,2,,,,-1.0,
6,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2022-08-26 12:46:08,2019-03-31 22:03:47,9661,1782.0,819.0,22127,2018-03-19 23:26:21,2.1,3.0,,,47.0,22,2,203.0,1242096.0,21052.0,,
7,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2022-09-05 03:21:06,2022-08-29 07:26:23,8470,671.0,3009.0,21488,2021-12-28 13:36:17,7.0.0,10.0,,,379.0,26,1,18097.0,58521.0,943.0,,
8,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2022-09-05 08:25:54,2022-09-05 02:47:19,6932,582.0,5690.0,21171,2022-07-28 15:43:37,2.25.1,36.0,570.0,570.0,351.0,27,1,2115.0,,,,
9,pytorch-image-models,rwightman pytorch-image-models.,https://github.com/rwightman/pytorch-image-models,rwightman/pytorch-image-models,./screenshots/pytorch-image-models.png,图像分类,True,https://github.com/rwightman/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12,2022-09-02 18:29:17,2022-08-29 22:52:24,3332,56.0,522.0,20689,2022-08-24 18:03:56,0.1-weights-maxx,35.0,4436.0,4436.0,79.0,31,1,1505.0,1723499.0,43087.0,,
10,pytorch-CycleGAN-and-pix2pix,junyanz pytorch-CycleGAN-and-pix2pix.,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,junyanz/pytorch-CycleGAN-and-pix2pix,./screenshots/pytorch-CycleGAN-and-pix2pix.png,图图转换ImageTranslation,True,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,,2017-04-18 10:33:05,2022-08-30 21:17:52,2022-08-30 21:17:52,5260,420.0,906.0,18265,,,,,,67.0,16,1,514.0,,,,
11,labelImg,tzutalin labelImg.,https://github.com/tzutalin/labelImg,tzutalin/labelImg,./screenshots/labelImg.jpeg,目标检测,True,https://github.com/heartexlabs/labelImg,MIT,2015-09-17 01:33:59,2022-08-26 02:42:53,2022-07-10 02:53:33,5345,340.0,349.0,18242,2018-12-03 05:40:38,1.8.1,2.0,599.0,599.0,108.0,24,1,448.0,,,,heartexlabs/labelImg
12,EasyOCR,JaidedAI EasyOCR.,https://github.com/JaidedAI/EasyOCR,JaidedAI/EasyOCR,./screenshots/EasyOCR.png,OCR文字识别,True,https://github.com/JaidedAI/EasyOCR,Apache-2.0,2020-03-14 11:46:39,2022-09-01 09:12:16,2022-09-01 08:24:43,2181,104.0,540.0,15722,2022-09-01 08:23:19,1.6.1,19.0,1510.0,1510.0,107.0,31,1,545.0,2099598.0,77762.0,,
