,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,commit_count,github_release_downloads,monthly_downloads,updated_github_id,trending
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2023-04-01 19:54:13,2023-04-01 19:50:30,7952,377.0,2108.0,50073,2023-04-01 19:55:17,5.3.1,25.0,1.0,1.0,198.0,20,2,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2023-04-02 09:23:51,2022-06-10 09:12:18,12539,689.0,572.0,47778,2018-04-02 17:18:43,1.2.2,2.0,,,54.0,21,2,238.0,1102.0,15.0,,
2,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2023-04-03 03:19:09,2023-03-15 09:34:37,5948,1389.0,5518.0,29280,2022-08-24 09:04:27,2.6.0,6.0,1247.0,1247.0,125.0,23,1,,,,,
3,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2023-03-23 16:23:21,2022-10-23 22:36:13,7285,217.0,1642.0,26581,2020-11-17 05:48:13,1.7.0,15.0,,,101.0,21,2,705.0,250108.0,3789.0,,
4,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2023-02-23 01:32:03,2023-02-23 01:32:03,2639,146.0,204.0,25923,2018-11-18 11:21:02,0.13.2,3.0,,,41.0,20,2,756.0,,,,
5,pytorch-image-models,rwightman pytorch-image-models.,https://github.com/rwightman/pytorch-image-models,rwightman/pytorch-image-models,./screenshots/pytorch-image-models.png,图像分类,True,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12,2023-04-03 02:22:07,2023-03-31 23:51:26,3941,65.0,630.0,24512,2023-03-24 01:00:35,0.6.13,43.0,9230.0,9230.0,96.0,30,1,,3703571.0,78799.0,huggingface/pytorch-image-models,
6,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2023-03-31 01:55:54,2023-03-31 01:53:29,6254,285.0,2964.0,24120,2021-11-15 22:08:26,0.6,10.0,987.0,987.0,241.0,23,2,,,,,
7,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2023-04-03 11:29:54,2023-02-28 02:17:10,7676,498.0,6300.0,23572,2023-02-28 02:24:52,2.28.2,49.0,1073.0,1073.0,392.0,28,1,2198.0,,,,
8,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2023-03-11 12:16:51,2019-03-31 22:03:47,9873,1825.0,837.0,22883,2018-03-19 23:26:21,2.1,3.0,,,47.0,22,2,203.0,1341171.0,20320.0,,
9,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2023-04-03 07:54:30,2023-03-27 09:36:22,8789,467.0,3449.0,22527,2022-12-25 10:21:56,8.0.0,11.0,,,397.0,27,1,19198.0,61867.0,896.0,,
10,pytorch-CycleGAN-and-pix2pix,junyanz pytorch-CycleGAN-and-pix2pix.,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,junyanz/pytorch-CycleGAN-and-pix2pix,./screenshots/pytorch-CycleGAN-and-pix2pix.png,图图转换ImageTranslation,True,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,,2017-04-18 10:33:05,2023-03-14 20:28:49,2023-03-14 20:28:49,5562,464.0,930.0,19564,,,,,,70.0,16,1,525.0,,,,
11,labelImg,tzutalin labelImg.,https://github.com/tzutalin/labelImg,tzutalin/labelImg,./screenshots/labelImg.jpeg,目标检测,True,https://github.com/heartexlabs/labelImg,MIT,2015-09-17 01:33:59,2023-02-27 08:16:36,2022-09-22 22:12:32,5583,372.0,358.0,19486,2018-12-03 05:40:38,1.8.1,2.0,794.0,794.0,109.0,24,1,449.0,,,heartexlabs/labelImg,
12,EasyOCR,JaidedAI EasyOCR.,https://github.com/JaidedAI/EasyOCR,JaidedAI/EasyOCR,./screenshots/EasyOCR.png,OCR文字识别,True,https://github.com/JaidedAI/EasyOCR,Apache-2.0,2020-03-14 11:46:39,2023-03-29 05:31:00,2023-03-29 05:30:27,2451,184.0,562.0,17485,2022-09-15 11:34:18,1.6.2,20.0,2395.0,2395.0,114.0,30,1,570.0,4129410.0,121453.0,,
13,openface,cmusatyalab openface.,https://github.com/cmusatyalab/openface,cmusatyalab/openface,./screenshots/openface.jpeg,人脸检测与识别,True,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2022-11-04 19:08:42,2019-11-26 15:56:28,3459,8.0,370.0,14630,2016-02-25 17:42:46,0.2.1,4.0,,,30.0,19,2,734.0,,,,
14,PyTorch-GAN,eriklindernoren PyTorch-GAN.,https://github.com/eriklindernoren/PyTorch-GAN,eriklindernoren/PyTorch-GAN,./screenshots/PyTorch-GAN.png,生成对抗网络GAN,True,https://github.com/eriklindernoren/PyTorch-GAN,MIT,2018-04-21 13:06:40,2022-10-24 12:28:43,2021-01-06 16:32:26,3666,102.0,47.0,13852,,,,,,10.0,16,2,193.0,,,,-1.0
15,Vision-Transformer,lucidrains vit-pytorch.,https://github.com/lucidrains/vit-pytorch,lucidrains/vit-pytorch,./screenshots/Vision-Transformer.png,图像分类,True,https://github.com/lucidrains/vit-pytorch,MIT,2020-10-03 22:47:24,2023-03-19 17:52:50,2023-03-19 17:52:47,2220,103.0,118.0,13521,2023-03-18 16:41:47,1.2.0,100.0,224.0,224.0,17.0,22,2,,,,,3.0
16,the-gan-zoo,hindupuravinash the-gan-zoo.,https://github.com/hindupuravinash/the-gan-zoo,hindupuravinash/the-gan-zoo,./screenshots/the-gan-zoo.jpeg,生成对抗网络GAN,True,https://github.com/hindupuravinash/the-gan-zoo,MIT,2017-04-14 16:45:24,2022-12-08 02:56:19,2018-09-30 20:02:46,2435,16.0,17.0,13111,,,,,,23.0,17,2,175.0,,,,-1.0
17,facenet,davidsandberg facenet.,https://github.com/davidsandberg/facenet,davidsandberg/facenet,./screenshots/facenet.jpeg,人脸检测与识别,True,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2023-03-25 00:05:44,2018-04-16 17:32:11,4649,495.0,615.0,12961,,,,,,36.0,18,3,566.0,,,,
18,nni,microsoft nni.,https://github.com/microsoft/nni,microsoft/nni,./screenshots/nni.png,模型压缩与优化,True,https://github.com/microsoft/nni,MIT,2018-06-01 05:51:44,2023-04-03 03:16:23,2023-04-03 02:47:04,1710,276.0,1600.0,12670,2022-11-14 10:58:33,2.10,38.0,360.0,360.0,189.0,26,1,2956.0,,,,
19,libfacedetection,ShiqiYu libfacedetection.,https://github.com/ShiqiYu/libfacedetection,ShiqiYu/libfacedetection,./screenshots/libfacedetection.png,人脸检测与识别,True,https://github.com/ShiqiYu/libfacedetection,,2015-01-20 07:47:20,2022-12-08 15:52:16,2022-10-08 06:36:47,2942,43.0,265.0,11481,2021-09-24 16:29:39,3.0,2.0,,,23.0,16,3,197.0,,,,-2.0
20,deep_learning_object_detection,hoya012 deep_learning_object_detection.,https://github.com/hoya012/deep_learning_object_detection,hoya012/deep_learning_object_detection,./screenshots/deep_learning_object_detection.png,目标检测,True,https://github.com/hoya012/deep_learning_object_detection,,2018-09-18 01:37:58,2022-10-19 08:10:29,2021-11-17 07:19:22,2770,4.0,23.0,10988,,,,,,9.0,13,3,144.0,,,,-1.0
21,ganhacks,soumith ganhacks.,https://github.com/soumith/ganhacks,soumith/ganhacks,./screenshots/ganhacks.png,生成对抗网络GAN,True,https://github.com/soumith/ganhacks,,2016-12-09 16:09:27,2022-01-09 06:29:17,2020-03-05 00:50:04,1636,52.0,15.0,10932,,,,,,3.0,12,3,6.0,,,,
22,facebookresearch-detr,facebookresearch detr.,https://github.com/facebookresearch/detr,facebookresearch/detr,./screenshots/facebookresearch-detr.png,目标检测,True,https://github.com/facebookresearch/detr,Apache-2.0,2020-05-26 23:54:52,2023-02-23 20:19:02,2023-02-07 10:12:31,1886,197.0,282.0,10692,2020-06-29 16:41:01,0.2,1.0,,,26.0,17,3,42.0,,,,
23,chineseocr_lite,DayBreak-u chineseocr_lite.,https://github.com/DayBreak-u/chineseocr_lite,DayBreak-u/chineseocr_lite,./screenshots/chineseocr_lite.png,OCR文字识别,True,https://github.com/DayBreak-u/chineseocr_lite,GPL-2.0,2020-02-27 10:01:29,2023-02-09 07:21:17,2023-02-09 07:21:17,2020,224.0,121.0,10161,,,,,,13.0,15,2,34.0,,,,
24,PaddleDetection,PaddleDetection.,https://github.com/PaddlePaddle/PaddleDetection,PaddlePaddle/PaddleDetection,./screenshots/PaddleDetection.jpeg,目标检测,True,https://github.com/PaddlePaddle/PaddleDetection,Apache-2.0,2019-10-25 07:21:14,2023-04-03 11:23:07,2023-03-28 11:57:51,2470,874.0,3728.0,9950,2023-02-23 03:25:22,2.6.0,8.0,61.0,61.0,137.0,22,2,,,,,3.0
25,awesome-semantic-segmentation,awesome-semantic-segmentation.,https://github.com/mrgloom/awesome-semantic-segmentation,mrgloom/awesome-semantic-segmentation,./screenshots/awesome-semantic-segmentation.jpeg,图像分割,True,https://github.com/mrgloom/awesome-semantic-segmentation,,2015-10-03 10:07:34,2021-05-08 13:40:11,2021-03-08 14:36:09,2331,6.0,19.0,9823,,,,,,16.0,14,3,417.0,,,,
26,pix2pix,phillipi pix2pix.,https://github.com/phillipi/pix2pix,phillipi/pix2pix,./screenshots/pix2pix.jpeg,图图转换ImageTranslation,True,https://github.com/phillipi/pix2pix,,2016-11-16 22:48:50,2021-06-06 12:09:47,2020-08-05 01:16:42,1630,84.0,119.0,9453,,,,,,17.0,13,2,130.0,,,,
27,carla,carla-simulator carla.,https://github.com/carla-simulator/carla,carla-simulator/carla,./screenshots/carla.jpeg,自动驾驶,True,https://github.com/carla-simulator/carla,,2017-10-24 09:06:23,2023-04-03 06:54:17,2023-01-24 16:27:46,2722,893.0,3448.0,9036,2022-12-24 02:26:17,0.9.14,25.0,394.0,394.0,152.0,25,2,5833.0,,,,
28,Keras-GAN,eriklindernoren Keras-GAN.,https://github.com/eriklindernoren/Keras-GAN,eriklindernoren/Keras-GAN,./screenshots/Keras-GAN.png,生成对抗网络GAN,True,https://github.com/eriklindernoren/Keras-GAN,MIT,2017-07-11 16:24:53,2022-12-12 05:55:51,2021-01-06 16:32:52,3064,123.0,100.0,8931,,,,,,16.0,16,2,185.0,,,,
29,vid2vid,NVIDIA vid2vid.,https://github.com/NVIDIA/vid2vid,NVIDIA/vid2vid,./screenshots/vid2vid.gif,图图转换ImageTranslation,True,https://github.com/NVIDIA/vid2vid,,2018-08-14 23:27:15,2022-05-17 05:09:30,2019-07-03 21:49:56,1171,99.0,65.0,8203,,,,,,4.0,13,2,65.0,,,,
30,U-2-Net,xuebinqin-U-2-Net.,https://github.com/xuebinqin/U-2-Net,xuebinqin/U-2-Net,./screenshots/xuebinqin-U-2-Net.png,目标检测,True,https://github.com/xuebinqin/U-2-Net,Apache-2.0,2020-05-04 17:10:28,2023-01-10 19:40:18,2022-08-25 06:09:58,1179,195.0,115.0,6836,,,,,,13.0,15,3,280.0,,,,
31,CenterNet,xingyizhou-CenterNet.,https://github.com/xingyizhou/CenterNet,xingyizhou/CenterNet,./screenshots/xingyizhou-CenterNet.jpeg,目标检测,True,https://github.com/xingyizhou/CenterNet,MIT,2019-04-16 18:39:13,2023-03-02 14:23:04,2022-11-11 04:54:48,1830,424.0,559.0,6807,,,,,,15.0,15,3,51.0,,,,
32,PaddleSeg,PaddlePaddle PaddleSeg.,https://github.com/PaddlePaddle/PaddleSeg,PaddlePaddle/PaddleSeg,./screenshots/PaddleSeg.gif,图像分割,True,https://github.com/PaddlePaddle/PaddleSeg,Apache-2.0,2019-08-26 02:32:22,2023-04-03 11:44:34,2023-02-27 03:22:01,1417,185.0,1458.0,6707,2022-11-30 06:56:27,2.7.0,17.0,852.0,852.0,96.0,22,2,,,,,
33,PaddleGAN,PaddlePaddle PaddleGAN.,https://github.com/PaddlePaddle/PaddleGAN,PaddlePaddle/PaddleGAN,./screenshots/PaddleGAN.png,生成对抗网络GAN,True,https://github.com/PaddlePaddle/PaddleGAN,Apache-2.0,2020-06-18 10:56:01,2023-03-23 03:11:46,2023-03-23 03:11:45,1110,225.0,71.0,6697,2022-01-04 07:14:10,2.1.0,3.0,,,50.0,19,1,224.0,,,,
