,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,trending,commit_count,github_release_downloads,monthly_downloads,updated_github_id
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2023-09-30 18:30:15,2023-09-30 18:30:14,8246,388.0,2157.0,53640,2023-07-11 11:58:19,5.3.2,26.0,16.0,16.0,204.0,23,2,4.0,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2023-09-13 13:23:14,2022-06-10 09:12:18,12786,713.0,583.0,49446,2018-04-02 17:18:43,1.2.2,2.0,15.0,15.0,54.0,23,2,,238.0,1156.0,14.0,
2,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2023-10-02 04:46:23,2023-09-28 09:53:00,6562,816.0,7218.0,33503,2023-09-22 07:27:05,2.7.0,7.0,1823.0,1823.0,149.0,25,1,,,,,
3,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2023-08-17 21:31:26,2023-07-15 13:50:23,7418,258.0,1650.0,28232,2020-11-17 05:48:13,1.7.0,15.0,,,105.0,21,2,,709.0,269004.0,3736.0,
4,pytorch-image-models,rwightman pytorch-image-models.,https://github.com/rwightman/pytorch-image-models,rwightman/pytorch-image-models,./screenshots/pytorch-image-models.png,图像分类,True,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12,2023-10-01 06:01:01,2023-09-27 17:27:47,4214,68.0,734.0,26969,2023-09-02 19:49:58,0.9.7,49.0,16633.0,16633.0,113.0,30,1,,,5500543.0,103783.0,huggingface/pytorch-image-models
5,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2023-09-30 10:09:22,2023-09-26 01:25:13,6642,347.0,3012.0,26730,2021-11-15 22:08:26,0.6,10.0,1386.0,1386.0,258.0,23,2,,,,,
6,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2023-05-04 00:50:48,2023-02-23 01:32:03,2681,148.0,205.0,26655,2018-11-18 11:21:02,0.13.2,3.0,,,41.0,19,2,,756.0,,,
7,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2023-10-02 06:54:22,2023-06-30 07:37:44,8018,957.0,6536.0,25635,2023-06-30 07:41:30,3.1.0,51.0,1747.0,1747.0,411.0,28,1,,2198.0,,,
8,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2023-09-21 11:10:11,2019-03-31 22:03:47,10016,1861.0,844.0,23468,2018-03-19 23:26:21,2.1,3.0,15.0,15.0,47.0,24,1,,203.0,1409350.0,19574.0,
9,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2023-09-25 14:01:00,2023-07-14 04:15:50,9011,613.0,3519.0,23407,2022-12-25 10:21:56,8.0.0,11.0,,,408.0,26,1,,19208.0,62970.0,839.0,
