,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,projectrank_placing,trending,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,updated_github_id
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2022-03-28 06:44:15,2022-03-28 06:44:15,7480,347.0,1942.0,44502,2022-03-01 16:33:53,5.1.0,21.0,192.0,20,2,1.0,,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2021-12-04 17:06:24,2021-06-14 10:10:40,11845,649.0,558.0,43641,2018-04-02 17:18:43,1.2.2,2.0,47.0,20,2,,219.0,456.0,7.0,,,
2,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2022-03-24 15:29:34,2022-03-24 14:59:56,6797,136.0,1631.0,23720,2020-11-17 05:48:13,1.7.0,15.0,97.0,21,1,,696.0,208902.0,3941.0,,,
3,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2021-10-30 17:37:48,2021-06-03 21:52:26,2516,135.0,196.0,23551,2018-11-18 11:21:02,0.13.2,3.0,39.0,19,1,,746.0,,,,,
4,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2022-01-02 23:39:40,2019-03-31 22:03:47,9417,1725.0,804.0,21453,2018-03-19 23:26:21,2.1,3.0,47.0,22,1,,203.0,1145238.0,21608.0,,,
5,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2022-03-28 11:54:47,2022-03-16 06:59:13,8022,1075.0,2472.0,20395,2021-12-28 13:36:17,7.0.0,10.0,372.0,26,1,1.0,18073.0,54645.0,975.0,,,
6,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2022-03-24 19:56:03,2022-03-22 17:59:46,5236,148.0,2739.0,20302,2021-11-15 22:08:26,0.6,10.0,202.0,19,2,-4.0,,,,,,
7,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2022-03-28 11:00:35,2022-03-28 05:12:47,4038,966.0,3135.0,19500,2021-05-26 11:43:06,2.1.1,4.0,91.0,22,1,,,,,586.0,586.0,
8,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2022-03-28 11:21:44,2022-03-16 02:24:04,6223,486.0,4924.0,18878,2022-02-26 02:28:30,2.22.0,30.0,316.0,23,1,-3.0,1963.0,,,,,
9,pytorch-image-models,rwightman pytorch-image-models.,https://github.com/rwightman/pytorch-image-models,rwightman/pytorch-image-models,./screenshots/pytorch-image-models.png,图像分类,True,https://github.com/rwightman/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12,2022-03-28 09:32:30,2022-03-25 04:43:56,2811,40.0,420.0,17292,2022-03-18 22:50:29,0.1-tpu-weights,30.0,71.0,25,1,-5.0,1336.0,1020928.0,30027.0,,,
