,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,projectrank_placing,trending,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,updated_github_id
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2022-02-19 23:16:55,2022-02-19 23:16:55,7418,347.0,1930.0,44037,2022-01-07 12:48:14,5.0.1,20.0,190.0,20,2,1.0,,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2021-12-04 17:06:24,2021-06-14 10:10:40,11749,648.0,557.0,43154,2018-04-02 17:18:43,1.2.2,2.0,47.0,21,2,,219.0,453.0,7.0,,,
2,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2022-01-09 17:08:33,2022-01-09 16:40:43,6699,126.0,1627.0,23363,2020-11-17 05:48:13,1.7.0,15.0,94.0,21,2,,692.0,204495.0,3932.0,,,
3,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2021-10-30 17:37:48,2021-06-03 21:52:26,2454,133.0,196.0,23191,2018-11-18 11:21:02,0.13.2,3.0,39.0,19,2,,746.0,,,,,
4,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2022-01-02 23:39:40,2019-03-31 22:03:47,9331,1713.0,799.0,21264,2018-03-19 23:26:21,2.1,3.0,47.0,22,2,,203.0,1124271.0,21620.0,,,
5,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2022-02-21 03:50:12,2022-02-14 03:12:01,7916,1049.0,2460.0,20159,2021-12-28 13:36:17,7.0.0,10.0,368.0,26,1,1.0,18066.0,54010.0,982.0,,,
6,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2022-02-21 09:06:56,2022-02-18 20:30:07,5140,136.0,2710.0,19924,2021-11-15 22:08:26,0.6,10.0,201.0,23,2,,,,,503.0,503.0,
7,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2022-02-21 11:41:19,2022-02-18 10:54:37,3908,916.0,2975.0,19017,2021-05-26 11:43:06,2.1.1,4.0,89.0,22,1,-1.0,,,,543.0,543.0,
8,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2022-02-21 11:16:48,2022-02-16 12:12:35,6030,458.0,4719.0,18355,2022-02-08 10:56:07,2.21.0,29.0,305.0,27,1,,1922.0,,,255.0,255.0,
9,pytorch-CycleGAN-and-pix2pix,junyanz pytorch-CycleGAN-and-pix2pix.,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,junyanz/pytorch-CycleGAN-and-pix2pix,./screenshots/pytorch-CycleGAN-and-pix2pix.png,图图转换ImageTranslation,True,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,,2017-04-18 10:33:05,2022-02-10 09:31:02,2022-01-14 00:08:06,4904,369.0,875.0,16871,,,,65.0,16,1,,505.0,,,,,
