,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,commit_count,github_release_downloads,monthly_downloads,trending,updated_github_id
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2022-09-16 15:18:32,2022-09-03 15:40:31,7689,354.0,2046.0,46671,2022-07-06 20:22:26,5.2.0,22.0,1.0,1.0,201.0,20,2,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2022-09-08 15:32:30,2022-06-10 09:12:18,12206,665.0,567.0,45800,2018-04-02 17:18:43,1.2.2,2.0,,,54.0,21,2,238.0,466.0,7.0,,
2,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2022-09-17 16:18:38,2022-09-17 15:31:32,7041,178.0,1635.0,24939,2020-11-17 05:48:13,1.7.0,15.0,,,99.0,21,2,702.0,231297.0,3920.0,,
3,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2022-09-19 11:39:41,2022-09-19 09:40:05,5008,965.0,4368.0,24862,2022-08-24 09:04:27,2.6.0,6.0,828.0,828.0,112.0,23,1,,,,,
4,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2022-07-06 01:48:02,2022-07-06 01:47:27,2588,138.0,201.0,24700,2018-11-18 11:21:02,0.13.2,3.0,,,40.0,20,2,752.0,,,,
5,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2022-09-15 10:12:34,2022-09-12 21:58:12,5715,243.0,2872.0,22266,2021-11-15 22:08:26,0.6,10.0,731.0,731.0,214.0,22,2,,,,-1.0,
6,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2022-09-18 14:58:33,2019-03-31 22:03:47,9672,1785.0,821.0,22178,2018-03-19 23:26:21,2.1,3.0,,,47.0,22,2,203.0,1248716.0,21164.0,,
7,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2022-09-19 06:54:49,2022-08-29 07:26:23,8494,682.0,3014.0,21572,2021-12-28 13:36:17,7.0.0,10.0,,,379.0,26,1,18097.0,58742.0,947.0,,
8,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2022-09-19 11:29:18,2022-09-16 08:23:46,6989,587.0,5730.0,21369,2022-09-16 08:27:32,2.25.2,37.0,593.0,593.0,364.0,27,1,2132.0,,,,
9,pytorch-image-models,rwightman pytorch-image-models.,https://github.com/rwightman/pytorch-image-models,rwightman/pytorch-image-models,./screenshots/pytorch-image-models.png,图像分类,True,https://github.com/rwightman/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12,2022-09-19 04:33:30,2022-09-14 03:54:54,3375,57.0,529.0,20944,2022-08-24 18:03:56,0.1-weights-maxx,35.0,4652.0,4652.0,79.0,31,1,1517.0,1813929.0,45348.0,,
