,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,trending,commit_count,github_release_downloads,monthly_downloads,updated_github_id
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2024-01-11 13:05:16,2024-01-11 13:05:16,8423,392.0,2178.0,55881,2023-10-05 19:05:14,5.3.3,27.0,22.0,22.0,206.0,23,2,4.0,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-01-13 20:33:11,2022-06-10 09:12:18,12931,723.0,584.0,50800,2018-04-02 17:18:43,1.2.2,2.0,21.0,21.0,54.0,23,2,,238.0,1223.0,15.0,
2,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2024-01-15 09:35:43,2024-01-02 02:55:36,6855,1110.0,7299.0,35806,2023-10-18 12:32:48,2.7.1,8.0,2141.0,2141.0,152.0,25,1,,,,,
3,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2024-01-09 14:04:19,2024-01-09 14:04:19,7491,276.0,1655.0,29094,2020-11-17 05:48:13,1.7.0,15.0,,,107.0,21,2,,713.0,279491.0,3726.0,
4,pytorch-image-models,rwightman pytorch-image-models.,https://github.com/rwightman/pytorch-image-models,rwightman/pytorch-image-models,./screenshots/pytorch-image-models.png,图像分类,True,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12,2024-01-13 07:33:32,2024-01-13 07:33:32,4357,66.0,764.0,28376,2023-11-24 19:09:08,0.9.12,54.0,21520.0,21520.0,127.0,31,1,,,6058194.0,108182.0,huggingface/pytorch-image-models
5,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2024-01-09 02:17:50,2024-01-09 02:12:36,6789,380.0,3037.0,27798,2021-11-15 22:08:26,0.6,10.0,1561.0,1561.0,263.0,23,2,,,,,
6,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2023-05-04 00:50:48,2023-02-23 01:32:03,2686,148.0,205.0,26945,2018-11-18 11:21:02,0.13.2,3.0,,,41.0,19,2,,756.0,,,
7,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2024-01-10 04:44:25,2024-01-05 06:10:48,8167,1195.0,6604.0,26765,2024-01-05 06:24:15,3.3.0,53.0,2077.0,2077.0,453.0,29,1,3.0,2198.0,,,
8,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2024-01-09 03:22:27,2024-01-09 03:22:18,9145,665.0,3565.0,23920,2023-12-18 12:36:54,9.0.0,12.0,1.0,1.0,409.0,27,1,,19284.0,63458.0,813.0,
9,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2023-12-19 09:33:34,2019-03-31 22:03:47,10058,1876.0,848.0,23807,2018-03-19 23:26:21,2.1,3.0,21.0,21.0,47.0,24,2,,203.0,1442827.0,19237.0,
10,pytorch-CycleGAN-and-pix2pix,junyanz pytorch-CycleGAN-and-pix2pix.,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,junyanz/pytorch-CycleGAN-and-pix2pix,./screenshots/pytorch-CycleGAN-and-pix2pix.png,图图转换ImageTranslation,True,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,,2017-04-18 10:33:05,2023-12-04 15:06:06,2023-03-14 20:28:49,5844,506.0,942.0,21346,,,,20.0,20.0,70.0,18,1,,525.0,,,
11,labelImg,tzutalin labelImg.,https://github.com/tzutalin/labelImg,tzutalin/labelImg,./screenshots/labelImg.jpeg,目标检测,True,https://github.com/HumanSignal/labelImg,MIT,2015-09-17 01:33:59,2024-01-04 20:24:05,2022-09-22 22:12:32,5847,399.0,364.0,21278,2018-12-03 05:40:38,1.8.1,2.0,1105.0,1105.0,109.0,25,1,,449.0,,,HumanSignal/labelImg
