,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,projectrank_placing,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,trending,updated_github_id
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2021-10-22 07:07:43,2021-10-15 18:28:46,7209,330.0,1850.0,42363,2019-12-26 15:43:01,4.1.1,13.0,188.0,19,2,,,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2021-10-15 03:09:01,2021-06-14 10:10:40,11464,629.0,550.0,41866,2018-04-02 17:18:43,1.2.2,2.0,47.0,21,2,219.0,448.0,8.0,,,,
2,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2021-10-11 15:46:18,2021-09-25 15:23:01,6471,155.0,1568.0,22342,2020-11-17 05:48:13,1.7.0,15.0,92.0,21,2,687.0,190817.0,3975.0,,,,
3,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2021-06-03 21:54:37,2021-06-03 21:52:26,2365,127.0,193.0,22191,2018-11-18 11:21:02,0.13.2,3.0,39.0,19,1,746.0,,,,,,
4,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2021-09-22 08:59:20,2019-03-31 22:03:47,9081,1668.0,781.0,20775,2018-03-19 23:26:21,2.1,3.0,47.0,22,2,203.0,1054086.0,21960.0,,,,
5,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2021-10-25 11:06:41,2021-10-25 11:06:40,7519,960.0,2438.0,19415,2020-09-21 21:03:27,6.0.0,9.0,361.0,25,1,18006.0,51546.0,1010.0,,,,
6,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2021-10-24 02:36:55,2021-10-22 07:47:55,4671,127.0,2566.0,18538,2021-07-23 18:55:45,0.5,9.0,189.0,23,2,,,,384.0,384.0,,
7,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2021-10-25 03:15:27,2021-10-22 08:14:46,3386,919.0,2264.0,17107,2021-05-26 11:43:06,2.1.1,4.0,53.0,23,1,,,,362.0,362.0,,
8,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2021-10-25 11:49:07,2021-10-25 11:16:45,5478,290.0,4271.0,16915,2021-09-28 13:18:16,2.17.0,18.0,270.0,26,1,1787.0,,,144.0,144.0,,
9,pytorch-CycleGAN-and-pix2pix,junyanz pytorch-CycleGAN-and-pix2pix.,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,junyanz/pytorch-CycleGAN-and-pix2pix,./screenshots/pytorch-CycleGAN-and-pix2pix.png,图图转换ImageTranslation,True,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,,2017-04-18 10:33:05,2021-09-30 17:54:49,2021-09-30 17:54:49,4656,370.0,834.0,16054,,,,64.0,16,1,501.0,,,,,,
