,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,projectrank_placing,commit_count,github_release_downloads,monthly_downloads,trending,dependent_project_count,github_dependent_project_count,updated_github_id
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2022-03-03 12:31:13,2022-03-03 12:30:54,7448,348.0,1934.0,44233,2022-03-01 16:33:53,5.1.0,21.0,190.0,20,2,,,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2021-12-04 17:06:24,2021-06-14 10:10:40,11787,649.0,558.0,43352,2018-04-02 17:18:43,1.2.2,2.0,47.0,20,2,219.0,455.0,7.0,-1.0,,,
2,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2022-02-23 20:42:06,2022-01-09 16:40:43,6721,130.0,1627.0,23482,2020-11-17 05:48:13,1.7.0,15.0,94.0,21,2,692.0,206093.0,3888.0,,,,
3,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2021-10-30 17:37:48,2021-06-03 21:52:26,2462,135.0,196.0,23293,2018-11-18 11:21:02,0.13.2,3.0,39.0,19,2,746.0,,,,,,
4,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2022-01-02 23:39:40,2019-03-31 22:03:47,9370,1720.0,802.0,21345,2018-03-19 23:26:21,2.1,3.0,47.0,22,2,203.0,1132003.0,21358.0,,,,
5,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2022-03-04 07:54:03,2022-03-01 05:36:22,7963,1061.0,2465.0,20244,2021-12-28 13:36:17,7.0.0,10.0,370.0,26,1,18068.0,54235.0,968.0,,,,
6,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2022-03-03 00:27:47,2022-03-02 23:40:53,5195,141.0,2721.0,20082,2021-11-15 22:08:26,0.6,10.0,202.0,23,2,,,,,513.0,513.0,
7,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2022-03-07 11:08:59,2022-03-07 08:04:39,3958,914.0,3065.0,19203,2021-05-26 11:43:06,2.1.1,4.0,90.0,22,1,,,,-1.0,560.0,560.0,
8,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2022-03-07 10:00:39,2022-03-06 09:35:03,6108,451.0,4813.0,18539,2022-02-26 02:28:30,2.22.0,30.0,315.0,27,1,1961.0,,,,275.0,275.0,
9,pytorch-CycleGAN-and-pix2pix,junyanz pytorch-CycleGAN-and-pix2pix.,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,junyanz/pytorch-CycleGAN-and-pix2pix,./screenshots/pytorch-CycleGAN-and-pix2pix.png,图图转换ImageTranslation,True,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,,2017-04-18 10:33:05,2022-02-23 04:23:03,2022-01-14 00:08:06,4933,370.0,880.0,16991,,,,65.0,16,1,505.0,,,,,,
10,pytorch-image-models,rwightman pytorch-image-models.,https://github.com/rwightman/pytorch-image-models,rwightman/pytorch-image-models,./screenshots/pytorch-image-models.png,图像分类,True,https://github.com/rwightman/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12,2022-03-01 01:08:49,2022-02-02 17:15:20,2720,49.0,400.0,16833,2022-01-31 23:25:04,0.1-mit-weights,29.0,65.0,30,1,1266.0,957147.0,28151.0,,2124.0,2124.0,
11,labelImg,tzutalin labelImg.,https://github.com/tzutalin/labelImg,tzutalin/labelImg,./screenshots/labelImg.jpeg,目标检测,True,https://github.com/tzutalin/labelImg,MIT,2015-09-17 01:33:59,2022-02-23 06:35:24,2022-02-23 06:23:10,5005,293.0,339.0,16706,2018-12-03 05:40:38,1.8.1,2.0,101.0,24,1,422.0,,,,433.0,433.0,
12,openface,cmusatyalab openface.,https://github.com/cmusatyalab/openface,cmusatyalab/openface,./screenshots/openface.jpeg,人脸检测与识别,True,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2022-02-11 03:38:54,2019-11-26 15:56:28,3429,6.0,369.0,14315,2016-02-25 17:42:46,0.2.1,4.0,30.0,20,2,734.0,,,,,,
