,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,projectrank_placing,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,trending,updated_github_id
10,pytorch-CycleGAN-and-pix2pix,junyanz pytorch-CycleGAN-and-pix2pix.,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,junyanz/pytorch-CycleGAN-and-pix2pix,./screenshots/pytorch-CycleGAN-and-pix2pix.png,图图转换ImageTranslation,True,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,,2017-04-18 10:33:05,2022-04-28 01:39:02,2022-01-14 00:08:06,5080,385.0,889.0,17441,,,,65.0,16,1,505.0,,,,,,
11,labelImg,tzutalin labelImg.,https://github.com/tzutalin/labelImg,tzutalin/labelImg,./screenshots/labelImg.jpeg,目标检测,True,https://github.com/tzutalin/labelImg,MIT,2015-09-17 01:33:59,2022-04-30 06:38:55,2022-04-30 06:38:55,5178,302.0,340.0,17213,2018-12-03 05:40:38,1.8.1,2.0,105.0,24,1,429.0,,,496.0,496.0,,
12,EasyOCR,JaidedAI EasyOCR.,https://github.com/JaidedAI/EasyOCR,JaidedAI/EasyOCR,./screenshots/EasyOCR.png,OCR文字识别,True,https://github.com/JaidedAI/EasyOCR,Apache-2.0,2020-03-14 11:46:39,2022-04-09 08:05:04,2022-04-09 08:05:04,1983,99.0,446.0,14635,2022-04-09 07:42:02,1.4.2,16.0,98.0,31,1,498.0,1479969.0,64346.0,1100.0,1100.0,2.0,
13,openface,cmusatyalab openface.,https://github.com/cmusatyalab/openface,cmusatyalab/openface,./screenshots/openface.jpeg,人脸检测与识别,True,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2022-04-06 17:33:15,2019-11-26 15:56:28,3435,7.0,369.0,14377,2016-02-25 17:42:46,0.2.1,4.0,30.0,20,2,734.0,,,,,,
14,facenet,davidsandberg facenet.,https://github.com/davidsandberg/facenet,davidsandberg/facenet,./screenshots/facenet.jpeg,人脸检测与识别,True,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2022-02-09 23:31:54,2018-04-16 17:32:11,4592,483.0,615.0,12448,,,,36.0,17,3,566.0,,,,,-1.0,
15,the-gan-zoo,hindupuravinash the-gan-zoo.,https://github.com/hindupuravinash/the-gan-zoo,hindupuravinash/the-gan-zoo,./screenshots/the-gan-zoo.jpeg,生成对抗网络GAN,True,https://github.com/hindupuravinash/the-gan-zoo,MIT,2017-04-14 16:45:24,2022-04-29 02:21:15,2018-09-30 20:02:46,2306,16.0,16.0,12015,,,,23.0,18,2,175.0,,,,,,
16,PyTorch-GAN,eriklindernoren PyTorch-GAN.,https://github.com/eriklindernoren/PyTorch-GAN,eriklindernoren/PyTorch-GAN,./screenshots/PyTorch-GAN.png,生成对抗网络GAN,True,https://github.com/eriklindernoren/PyTorch-GAN,MIT,2018-04-21 13:06:40,2022-04-13 02:33:51,2021-01-06 16:32:26,3313,92.0,45.0,11949,,,,10.0,17,2,193.0,,,,,,
17,nni,microsoft nni.,https://github.com/microsoft/nni,microsoft/nni,./screenshots/nni.png,模型压缩与优化,True,https://github.com/microsoft/nni,MIT,2018-06-01 05:51:44,2022-05-02 08:20:40,2022-04-29 10:25:48,1583,272.0,1319.0,11411,2022-04-18 13:06:42,2.7,35.0,168.0,26,1,2659.0,,,223.0,223.0,,
18,libfacedetection,ShiqiYu libfacedetection.,https://github.com/ShiqiYu/libfacedetection,ShiqiYu/libfacedetection,./screenshots/libfacedetection.png,人脸检测与识别,True,https://github.com/ShiqiYu/libfacedetection,,2015-01-20 07:47:20,2021-11-20 16:12:16,2021-11-20 16:12:16,2890,37.0,256.0,11027,2021-09-24 16:29:39,3.0,2.0,23.0,16,3,189.0,,,,,-2.0,
19,deep_learning_object_detection,hoya012 deep_learning_object_detection.,https://github.com/hoya012/deep_learning_object_detection,hoya012/deep_learning_object_detection,./screenshots/deep_learning_object_detection.png,目标检测,True,https://github.com/hoya012/deep_learning_object_detection,,2018-09-18 01:37:58,2021-11-17 07:19:22,2021-11-17 07:19:22,2758,4.0,23.0,10592,,,,9.0,13,3,144.0,,,,,-1.0,
20,ganhacks,soumith ganhacks.,https://github.com/soumith/ganhacks,soumith/ganhacks,./screenshots/ganhacks.png,生成对抗网络GAN,True,https://github.com/soumith/ganhacks,,2016-12-09 16:09:27,2022-01-09 06:29:17,2020-03-05 00:50:04,1604,49.0,15.0,10434,,,,3.0,12,3,6.0,,,,,,
21,Vision-Transformer,lucidrains vit-pytorch.,https://github.com/lucidrains/vit-pytorch,lucidrains/vit-pytorch,./screenshots/Vision-Transformer.png,图像分类,True,https://github.com/lucidrains/vit-pytorch,MIT,2020-10-03 22:47:24,2022-04-30 02:22:33,2022-04-07 05:15:05,1592,84.0,96.0,9716,2022-04-06 23:43:24,0.33.2,100.0,15.0,21,2,,,,103.0,103.0,2.0,
22,awesome-semantic-segmentation,awesome-semantic-segmentation.,https://github.com/mrgloom/awesome-semantic-segmentation,mrgloom/awesome-semantic-segmentation,./screenshots/awesome-semantic-segmentation.jpeg,图像分割,True,https://github.com/mrgloom/awesome-semantic-segmentation,,2015-10-03 10:07:34,2021-05-08 13:40:11,2021-03-08 14:36:09,2256,6.0,19.0,9206,,,,16.0,14,3,417.0,,,,,,
23,pix2pix,phillipi pix2pix.,https://github.com/phillipi/pix2pix,phillipi/pix2pix,./screenshots/pix2pix.jpeg,图图转换ImageTranslation,True,https://github.com/phillipi/pix2pix,,2016-11-16 22:48:50,2021-06-06 12:09:47,2020-08-05 01:16:42,1569,79.0,119.0,8946,,,,17.0,13,2,130.0,,,,,,
24,chineseocr_lite,DayBreak-u chineseocr_lite.,https://github.com/DayBreak-u/chineseocr_lite,DayBreak-u/chineseocr_lite,./screenshots/chineseocr_lite.png,OCR文字识别,True,https://github.com/DayBreak-u/chineseocr_lite,GPL-2.0,2020-02-27 10:01:29,2022-03-12 00:38:39,2022-02-16 12:21:31,1791,211.0,117.0,8942,,,,12.0,15,2,34.0,,,,,,
25,facebookresearch-detr,facebookresearch detr.,https://github.com/facebookresearch/detr,facebookresearch/detr,./screenshots/facebookresearch-detr.png,目标检测,True,https://github.com/facebookresearch/detr,Apache-2.0,2020-05-26 23:54:52,2022-05-02 00:55:51,2022-03-07 12:59:53,1525,150.0,270.0,8750,2020-06-29 16:41:01,0.2,1.0,25.0,17,3,42.0,,,,,,
26,Keras-GAN,eriklindernoren Keras-GAN.,https://github.com/eriklindernoren/Keras-GAN,eriklindernoren/Keras-GAN,./screenshots/Keras-GAN.png,生成对抗网络GAN,True,https://github.com/eriklindernoren/Keras-GAN,MIT,2017-07-11 16:24:53,2022-01-23 17:09:47,2021-01-06 16:32:52,3003,120.0,99.0,8643,,,,16.0,16,2,185.0,,,,,,
27,vid2vid,NVIDIA vid2vid.,https://github.com/NVIDIA/vid2vid,NVIDIA/vid2vid,./screenshots/vid2vid.gif,图图转换ImageTranslation,True,https://github.com/NVIDIA/vid2vid,,2018-08-14 23:27:15,2020-01-31 13:18:57,2019-07-03 21:49:56,1141,97.0,63.0,7965,,,,4.0,12,3,65.0,,,,,,
28,carla,carla-simulator carla.,https://github.com/carla-simulator/carla,carla-simulator/carla,./screenshots/carla.jpeg,自动驾驶,True,https://github.com/carla-simulator/carla,MIT,2017-10-24 09:06:23,2022-05-02 10:56:07,2021-11-19 11:13:47,2202,537.0,3275.0,7666,2021-11-16 19:51:12,0.9.13,24.0,138.0,23,2,5439.0,,,164.0,164.0,,
29,PaddleDetection,PaddleDetection.,https://github.com/PaddlePaddle/PaddleDetection,PaddlePaddle/PaddleDetection,./screenshots/PaddleDetection.jpeg,目标检测,True,https://github.com/PaddlePaddle/PaddleDetection,Apache-2.0,2019-10-25 07:21:14,2022-05-02 03:31:50,2022-04-29 12:03:11,1893,610.0,2733.0,7476,2022-04-24 03:51:25,2.4.0,6.0,94.0,20,3,,,,15.0,15.0,,
30,CenterNet,xingyizhou-CenterNet.,https://github.com/xingyizhou/CenterNet,xingyizhou/CenterNet,./screenshots/xingyizhou-CenterNet.jpeg,目标检测,True,https://github.com/xingyizhou/CenterNet,MIT,2019-04-16 18:39:13,2021-11-11 12:47:50,2020-06-22 00:53:44,1760,392.0,547.0,6383,,,,14.0,14,3,50.0,,,,,,
31,Ultra-Light-Fast-Generic-Face-Detector-1MB,Linzaer Ultra-Light-Fast-Generic-Face-Detector-1MB.,https://github.com/Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB,Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB,./screenshots/Ultra-Light-Fast-Generic-Face-Detector-1MB.jpeg,人脸检测与识别,True,https://github.com/Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB,MIT,2019-10-10 07:40:48,2022-02-10 06:24:50,2022-02-10 06:24:50,1427,108.0,140.0,6336,,,,16.0,15,3,189.0,,,,,,
32,UGATIT,taki0112 UGATIT.,https://github.com/taki0112/UGATIT,taki0112/UGATIT,./screenshots/UGATIT.png,图图转换ImageTranslation,True,https://github.com/taki0112/UGATIT,MIT,2019-07-26 00:33:54,2021-05-20 03:23:05,2020-01-16 10:15:30,985,51.0,62.0,6099,,,,3.0,13,2,50.0,,,,,,
33,PaddleGAN,PaddlePaddle PaddleGAN.,https://github.com/PaddlePaddle/PaddleGAN,PaddlePaddle/PaddleGAN,./screenshots/PaddleGAN.png,生成对抗网络GAN,True,https://github.com/PaddlePaddle/PaddleGAN,Apache-2.0,2020-06-18 10:56:01,2022-04-27 03:52:12,2022-04-21 04:35:11,916,164.0,54.0,5651,2022-01-04 07:14:10,2.1.0,3.0,39.0,19,1,224.0,,,,,,
34,U-2-Net,xuebinqin-U-2-Net.,https://github.com/xuebinqin/U-2-Net,xuebinqin/U-2-Net,./screenshots/xuebinqin-U-2-Net.png,目标检测,True,https://github.com/xuebinqin/U-2-Net,Apache-2.0,2020-05-04 17:10:28,2022-04-13 01:00:29,2022-04-13 01:00:29,970,158.0,107.0,5606,,,,13.0,15,3,264.0,,,,,,
35,srez,david-gpu srez.,https://github.com/david-gpu/srez,david-gpu/srez,./screenshots/srez.jpeg,图像超分辨率,True,https://github.com/david-gpu/srez,MIT,2016-08-26 22:22:09,2017-08-16 10:48:45,2016-10-18 02:29:50,654,,,5288,,,,4.0,13,3,22.0,,,,,,
36,facebookresearch-mmf,facebookresearch mmf.,https://github.com/facebookresearch/mmf,facebookresearch/mmf,./screenshots/facebookresearch-mmf.png,图文转换ImageCaptioning与视觉问答VQA,True,https://github.com/facebookresearch/mmf,,2018-06-27 04:52:40,2022-04-29 11:12:36,2022-04-28 17:49:58,821,183.0,425.0,4891,2019-08-26 19:04:21,0.3.1,2.0,99.0,16,1,,,,12.0,12.0,,
37,PaddleSeg,PaddlePaddle PaddleSeg.,https://github.com/PaddlePaddle/PaddleSeg,PaddlePaddle/PaddleSeg,./screenshots/PaddleSeg.gif,图像分割,True,https://github.com/PaddlePaddle/PaddleSeg,Apache-2.0,2019-08-26 02:32:22,2022-04-29 11:23:38,2022-04-29 02:11:32,995,542.0,514.0,4645,2022-04-20 07:59:21,2.5,15.0,78.0,20,2,,,,542.0,542.0,,
38,PandaOCR,miaomiaosoft PandaOCR.,https://github.com/miaomiaosoft/PandaOCR,miaomiaosoft/PandaOCR,./screenshots/PandaOCR.png,OCR文字识别,True,https://github.com/miaomiaosoft/PandaOCR,,2018-05-16 19:56:02,2022-03-16 06:23:03,2022-03-16 06:23:03,608,58.0,202.0,4205,2022-03-16 06:18:51,2.72,60.0,,16,2,265.0,2637.0,54.0,,,,
39,gans-awesome-applications,nashory gans-awesome-applications.,https://github.com/nashory/gans-awesome-applications,nashory/gans-awesome-applications,./screenshots/gans-awesome-applications.png,生成对抗网络GAN,True,https://github.com/nashory/gans-awesome-applications,,2017-10-12 03:19:02,2021-12-21 11:02:09,2020-10-12 06:53:28,721,11.0,2.0,4149,,,,6.0,11,3,33.0,,,,,,
40,ESRGAN,xinntao ESRGAN.,https://github.com/xinntao/ESRGAN,xinntao/ESRGAN,./screenshots/ESRGAN.png,图像超分辨率,True,https://github.com/xinntao/ESRGAN,Apache-2.0,2018-08-31 08:18:41,2022-03-20 12:25:58,2021-07-27 19:32:01,757,80.0,41.0,4140,,,,,14,3,61.0,,,,,,
41,tensorflow-generative-model-collections,hwalsuklee tensorflow-generative-model-collections.,https://github.com/hwalsuklee/tensorflow-generative-model-collections,hwalsuklee/tensorflow-generative-model-collections,./screenshots/tensorflow-generative-model-collections.png,生成对抗网络GAN,True,https://github.com/hwalsuklee/tensorflow-generative-model-collections,Apache-2.0,2017-08-24 14:24:02,2018-07-21 02:09:52,2018-03-23 00:34:56,825,19.0,8.0,3806,,,,6.0,13,3,76.0,,,,,,
42,microsoft-VoTT,microsoft VoTT.,https://github.com/microsoft/VoTT,microsoft/VoTT,./screenshots/microsoft-VoTT.png,目标检测,True,https://github.com/microsoft/VoTT,MIT,2016-12-29 13:32:23,2021-12-06 21:10:56,2021-12-06 21:10:56,754,233.0,241.0,3793,2020-06-02 23:16:17,2.2.0,21.0,21.0,20,3,556.0,114528.0,1847.0,,,,
43,openmmlab-mmsegmentation,openmmlab-mmsegmentation.,https://github.com/open-mmlab/mmsegmentation,open-mmlab/mmsegmentation,./screenshots/open-mmlab-mmsegmentation.png,图像分割,True,https://github.com/open-mmlab/mmsegmentation,Apache-2.0,2020-06-14 04:32:33,2022-05-01 16:38:49,2022-05-01 06:06:04,1099,104.0,829.0,3631,2022-05-01 06:08:47,0.24.1,24.0,98.0,23,1,453.0,,,94.0,94.0,,
44,image-super-resolution,idealo image-super-resolution.,https://github.com/idealo/image-super-resolution,idealo/image-super-resolution,./screenshots/image-super-resolution.jpeg,图像超分辨率,True,https://github.com/idealo/image-super-resolution,Apache-2.0,2018-11-26 13:41:13,2022-01-23 11:27:35,2021-06-02 09:45:13,617,88.0,109.0,3552,2020-01-08 15:35:45,2.2.0,1.0,10.0,18,2,150.0,,,82.0,82.0,,
45,TNN,Tencent TNN.,https://github.com/Tencent/TNN,Tencent/TNN,./screenshots/TNN.png,模型压缩与优化,True,https://github.com/Tencent/TNN,,2020-05-29 07:20:28,2022-04-29 03:42:46,2022-04-28 11:13:25,607,227.0,536.0,3480,2021-04-26 14:23:12,0.3.0,1.0,73.0,17,2,2378.0,1342.0,103.0,,,,
46,awesome-Face_Recognition,ChanChiChoi awesome-Face_Recognition.,https://github.com/ChanChiChoi/awesome-Face_Recognition,ChanChiChoi/awesome-Face_Recognition,./screenshots/awesome-Face_Recognition.jpeg,人脸检测与识别,True,https://github.com/ChanChiChoi/awesome-Face_Recognition,,2018-11-09 06:16:47,2022-03-09 09:45:38,2022-03-09 09:45:34,830,5.0,,3479,,,,,12,3,139.0,,,,,,
47,PaddlePaddle-PaddleClas,PaddlePaddle PaddleClas.,https://github.com/PaddlePaddle/PaddleClas,PaddlePaddle/PaddleClas,./screenshots/PaddlePaddle-PaddleClas.png,图像分类,True,https://github.com/PaddlePaddle/PaddleClas,Apache-2.0,2020-03-30 04:27:42,2022-05-02 10:12:27,2022-04-26 06:31:42,763,84.0,477.0,3454,2022-02-07 11:04:22,2.3.1,6.0,44.0,18,2,,,,8.0,8.0,,
48,really-awesome-gan,nightrome really-awesome-gan.,https://github.com/nightrome/really-awesome-gan,nightrome/really-awesome-gan,./screenshots/really-awesome-gan.png,生成对抗网络GAN,True,https://github.com/nightrome/really-awesome-gan,,2017-04-03 14:49:43,2021-11-01 15:24:41,2021-11-01 15:24:40,676,,7.0,3450,,,,15.0,11,3,136.0,,,,,,
49,BasicSR,xinntao BasicSR.,https://github.com/xinntao/BasicSR,xinntao/BasicSR,./screenshots/BasicSR.png,图像超分辨率,True,https://github.com/xinntao/BasicSR,Apache-2.0,2018-04-19 18:58:00,2022-05-01 15:39:55,2022-05-01 15:39:43,732,187.0,231.0,3220,2022-02-15 16:30:52,1.3.5,15.0,14.0,21,1,467.0,,,177.0,177.0,,
50,TuSimple-simpledet,TuSimple simpledet.,https://github.com/TuSimple/simpledet,TuSimple/simpledet,./screenshots/TuSimple-simpledet.png,目标检测,True,https://github.com/TuSimple/simpledet,Apache-2.0,2019-01-29 08:28:55,2021-09-23 02:57:09,2021-09-23 02:57:09,475,41.0,213.0,3008,,,,18.0,13,3,139.0,,,,,,
51,deep-text-recognition-benchmark,clovaai deep-text-recognition-benchmark.,https://github.com/clovaai/deep-text-recognition-benchmark,clovaai/deep-text-recognition-benchmark,./screenshots/chinese_ocr.jpeg,OCR文字识别,True,https://github.com/clovaai/deep-text-recognition-benchmark,Apache-2.0,2019-04-03 07:24:05,2022-04-08 10:29:20,2020-12-11 03:12:52,885,157.0,149.0,2860,,,,13.0,14,3,146.0,,,,,,
52,facenet-pytorch,timesler facenet-pytorch.,https://github.com/timesler/facenet-pytorch,timesler/facenet-pytorch,./screenshots/facenet-pytorch.gif,人脸检测与识别,True,https://github.com/timesler/facenet-pytorch,MIT,2019-05-25 01:29:24,2021-12-13 14:59:32,2021-12-13 12:07:11,610,58.0,90.0,2837,2020-09-07 23:53:20,2.4.1,6.0,14.0,24,1,235.0,271763.0,9058.0,742.0,742.0,,
53,srgan,tensorlayer srgan.,https://github.com/tensorlayer/srgan,tensorlayer/srgan,./screenshots/srgan.jpeg,图像超分辨率,True,https://github.com/tensorlayer/srgan,,2017-04-20 17:08:27,2022-04-29 08:06:31,2022-04-29 08:06:22,753,129.0,101.0,2724,2019-07-28 14:45:22,1.4.1,9.0,9.0,15,2,128.0,4763.0,80.0,,,,
54,PocketFlow,Tencent PocketFlow.,https://github.com/Tencent/PocketFlow,Tencent/PocketFlow,./screenshots/PocketFlow.png,模型压缩与优化,True,https://github.com/Tencent/PocketFlow,,2018-10-31 07:45:21,2021-01-15 22:06:42,2019-05-28 02:57:14,494,72.0,202.0,2706,,,,11.0,12,3,214.0,,,,,,
55,CHINESE-OCR,xiaofengShi CHINESE-OCR.,https://github.com/xiaofengShi/CHINESE-OCR,xiaofengShi/CHINESE-OCR,./screenshots/CHINESE-OCR.png,OCR文字识别,True,https://github.com/xiaofengShi/CHINESE-OCR,,2018-04-14 14:32:16,2019-08-13 03:48:30,2019-07-06 08:11:15,940,149.0,20.0,2652,,,,2.0,10,3,25.0,,,,,,
56,chinese_ocr,YCG09 chinese_ocr.,https://github.com/YCG09/chinese_ocr,YCG09/chinese_ocr,./screenshots/chinese_ocr.png,OCR文字识别,True,https://github.com/YCG09/chinese_ocr,Apache-2.0,2018-03-16 06:52:08,2019-10-08 03:48:03,2019-10-08 03:48:28,1050,261.0,109.0,2525,,,,,12,3,13.0,,,,,,
57,pixel2style2pixel,eladrich pixel2style2pixel.,https://github.com/eladrich/pixel2style2pixel,eladrich/pixel2style2pixel,./screenshots/pixel2style2pixel.png,图图转换ImageTranslation,True,https://github.com/eladrich/pixel2style2pixel,MIT,2020-10-01 11:01:03,2022-02-23 16:55:50,2022-02-23 16:55:50,419,3.0,258.0,2468,,,,5.0,13,2,56.0,,,,,,
58,NVlabs-MUNIT,NVlabs MUNIT.,https://github.com/NVlabs/MUNIT,NVlabs/MUNIT,./screenshots/NVlabs-MUNIT.jpeg,图图转换ImageTranslation,True,https://github.com/NVlabs/MUNIT,,2018-03-30 21:56:14,2021-11-11 23:45:33,2021-11-11 23:45:33,466,56.0,42.0,2455,,,1.0,5.0,11,3,87.0,,,,,,
59,image-segmentation-keras,divamgupta image-segmentation-keras.,https://github.com/divamgupta/image-segmentation-keras,divamgupta/image-segmentation-keras,./screenshots/image-segmentation-keras.png,图像分割,True,https://github.com/divamgupta/image-segmentation-keras,MIT,2017-03-20 20:48:54,2022-04-18 19:50:51,2022-04-03 05:40:40,1000,147.0,176.0,2450,,,1.0,16.0,16,2,236.0,1302.0,35.0,,,,
60,captcha_trainer,kerlomz captcha_trainer.,https://github.com/kerlomz/captcha_trainer,kerlomz/captcha_trainer,./screenshots/captcha_trainer.png,OCR文字识别,True,https://github.com/kerlomz/captcha_trainer,Apache-2.0,2018-08-17 06:17:47,2022-03-09 07:49:17,2021-11-07 17:35:13,697,51.0,36.0,2389,,,,4.0,15,2,199.0,,,,,,
61,captcha_break,ypwhs captcha_break.,https://github.com/ypwhs/captcha_break,ypwhs/captcha_break,./screenshots/captcha_break.png,OCR文字识别,True,https://github.com/ypwhs/captcha_break,MIT,2017-02-21 14:04:20,2022-02-25 08:48:08,2020-01-10 13:03:53,622,48.0,18.0,2366,2019-06-18 13:05:05,2.0,2.0,2.0,12,3,12.0,510.0,14.0,,,,
62,pytorch-generative-model-collections,znxlwm pytorch-generative-model-collections.,https://github.com/znxlwm/pytorch-generative-model-collections,znxlwm/pytorch-generative-model-collections,./screenshots/pytorch-generative-model-collections.png,生成对抗网络GAN,True,https://github.com/znxlwm/pytorch-generative-model-collections,,2017-08-31 03:58:25,2020-04-12 11:55:29,2018-06-12 09:57:00,508,24.0,5.0,2346,,,,2.0,10,3,87.0,,,,,,
63,UGATIT-pytorch,znxlwm UGATIT-pytorch.,https://github.com/znxlwm/UGATIT-pytorch,znxlwm/UGATIT-pytorch,./screenshots/UGATIT-pytorch.jpeg,图图转换ImageTranslation,True,https://github.com/znxlwm/UGATIT-pytorch,MIT,2019-07-29 07:44:56,2022-03-16 15:36:16,2019-10-15 02:58:17,461,47.0,22.0,2328,,,,2.0,12,3,17.0,,,,,,
64,open-mmlab-mmtracking,PaddleDetection.,https://github.com/open-mmlab/mmtracking,open-mmlab/mmtracking,./screenshots/open-mmlab-mmtracking.gif,目标检测,True,https://github.com/open-mmlab/mmtracking,Apache-2.0,2020-08-29 06:16:56,2022-04-30 14:37:43,2022-04-30 14:37:43,337,77.0,133.0,2225,2022-04-29 13:09:41,0.13.0,12.0,25.0,22,2,269.0,,,151.0,151.0,,
65,ctrip-OCR,ctripcorp C-OCR.,https://github.com/ctripcorp/C-OCR,ctripcorp/C-OCR,./screenshots/C-OCR.png,OCR文字识别,True,https://github.com/ctripcorp/C-OCR,,2019-04-11 06:07:08,2019-05-08 09:56:50,2019-05-08 09:56:49,568,15.0,2.0,2218,,,,,10,3,11.0,,,,,,
66,awesome-image-classification,weiaicunzai awesome-image-classification.,https://github.com/weiaicunzai/awesome-image-classification,weiaicunzai/awesome-image-classification,./screenshots/awesome-image-classification.png,图像分类,True,https://github.com/weiaicunzai/awesome-image-classification,,2012-05-23 14:07:04,2022-04-20 15:52:51,2022-04-20 09:49:35,521,1.0,,2158,,,,2.0,11,3,57.0,,,,,,
67,AutonomousDrivingCookbook,microsoft AutonomousDrivingCookbook.,https://github.com/microsoft/AutonomousDrivingCookbook,microsoft/AutonomousDrivingCookbook,./screenshots/AutonomousDrivingCookbook.jpeg,自动驾驶,True,https://github.com/microsoft/AutonomousDrivingCookbook,MIT,2017-11-30 20:51:02,2019-03-15 04:17:31,2018-08-24 17:12:26,495,31.0,86.0,1998,,,,5.0,13,3,46.0,,,,,,
