,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,projectrank_placing,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,trending,updated_github_id
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2022-05-16 17:13:14,2022-05-03 10:15:39,7566,363.0,1965.0,45266,2022-03-01 16:33:53,5.1.0,21.0,194.0,20,2,,,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2022-04-03 13:40:00,2021-06-14 10:10:40,11969,654.0,559.0,44295,2018-04-02 17:18:43,1.2.2,2.0,47.0,21,2,219.0,459.0,7.0,,,,
2,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2022-05-17 19:17:11,2022-05-17 18:53:03,6890,152.0,1634.0,24211,2020-11-17 05:48:13,1.7.0,15.0,98.0,21,2,697.0,215723.0,3922.0,,,,
3,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2021-10-30 17:37:48,2021-06-03 21:52:26,2538,137.0,201.0,23942,2018-11-18 11:21:02,0.13.2,3.0,39.0,19,2,746.0,,,,,,
4,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2022-05-23 05:59:13,2022-05-20 08:20:07,4441,1070.0,3380.0,22071,2022-05-09 11:48:13,2.5.0,5.0,101.0,23,1,,,,643.0,643.0,,
5,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2022-05-21 19:17:48,2019-03-31 22:03:47,9538,1752.0,815.0,21719,2018-03-19 23:26:21,2.1,3.0,47.0,22,2,203.0,1182678.0,21503.0,,,,
6,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2022-05-22 19:39:55,2022-05-20 16:52:44,5410,174.0,2796.0,20964,2021-11-15 22:08:26,0.6,10.0,206.0,22,2,,,,611.0,611.0,-1.0,
7,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2022-05-18 01:53:03,2022-04-24 02:42:39,8198,1115.0,2489.0,20770,2021-12-28 13:36:17,7.0.0,10.0,373.0,27,1,18076.0,56025.0,965.0,,,2.0,
8,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2022-05-23 09:43:21,2022-05-11 14:46:29,6512,466.0,5319.0,19773,2022-04-30 14:27:27,2.24.1,33.0,335.0,27,1,2056.0,,,374.0,374.0,,
9,pytorch-image-models,rwightman pytorch-image-models.,https://github.com/rwightman/pytorch-image-models,rwightman/pytorch-image-models,./screenshots/pytorch-image-models.png,图像分类,True,https://github.com/rwightman/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12,2022-05-20 15:55:07,2022-05-20 15:55:07,3027,48.0,442.0,18632,2022-04-03 22:14:28,0.1-weights-swin2,31.0,75.0,30,1,1383.0,1218386.0,33844.0,3002.0,3002.0,,
