,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,commit_count,github_release_downloads,monthly_downloads,trending,updated_github_id
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2022-11-21 06:03:46,2022-11-21 06:03:46,7772,360.0,2071.0,47509,2022-07-06 20:22:26,5.2.0,22.0,1.0,1.0,193.0,20,2,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2022-11-03 21:43:04,2022-06-10 09:12:18,12319,668.0,570.0,46507,2018-04-02 17:18:43,1.2.2,2.0,,,54.0,21,2,238.0,471.0,7.0,,
2,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2022-11-21 10:25:40,2022-11-18 02:55:57,5372,1222.0,4649.0,26765,2022-08-24 09:04:27,2.6.0,6.0,957.0,957.0,120.0,24,1,,,,,
3,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2022-11-04 09:32:42,2022-10-23 22:36:13,7127,192.0,1636.0,25402,2020-11-17 05:48:13,1.7.0,15.0,,,101.0,21,2,705.0,236909.0,3883.0,,
4,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2022-07-06 01:48:02,2022-07-06 01:47:27,2611,139.0,201.0,25203,2018-11-18 11:21:02,0.13.2,3.0,,,40.0,19,2,752.0,,,,
5,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2022-11-18 01:21:49,2022-11-11 19:06:30,5896,266.0,2899.0,22884,2021-11-15 22:08:26,0.6,10.0,787.0,787.0,223.0,22,2,,,,-1.0,
6,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2022-11-11 02:50:08,2019-03-31 22:03:47,9747,1805.0,824.0,22437,2018-03-19 23:26:21,2.1,3.0,,,47.0,22,2,203.0,1280361.0,20989.0,,
7,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2022-11-21 12:12:37,2022-10-25 08:06:32,7254,498.0,6008.0,22148,2022-10-25 08:18:51,2.25.3,41.0,720.0,720.0,372.0,27,1,2147.0,,,,
8,pytorch-image-models,rwightman pytorch-image-models.,https://github.com/rwightman/pytorch-image-models,rwightman/pytorch-image-models,./screenshots/pytorch-image-models.png,图像分类,True,https://github.com/rwightman/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12,2022-11-17 16:56:25,2022-11-16 17:19:56,3605,62.0,550.0,22055,2022-10-03 21:44:35,0.6.11,36.0,5910.0,5910.0,86.0,29,1,,2390512.0,56916.0,,
9,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2022-11-18 08:21:10,2022-10-11 09:16:07,8614,467.0,3299.0,21905,2021-12-28 13:36:17,7.0.0,10.0,,,379.0,26,1,18099.0,60099.0,939.0,,
