,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,commit_count,github_release_downloads,monthly_downloads,trending,updated_github_id
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2022-08-06 17:10:09,2022-08-06 09:23:06,7657,344.0,2037.0,46184,2022-07-06 20:22:26,5.2.0,22.0,1.0,1.0,202.0,20,2,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2022-07-28 23:17:04,2022-06-10 09:12:18,12136,661.0,565.0,45430,2018-04-02 17:18:43,1.2.2,2.0,,,54.0,21,2,238.0,466.0,7.0,,
2,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2022-06-20 11:16:19,2022-06-19 20:28:30,6987,167.0,1635.0,24672,2020-11-17 05:48:13,1.7.0,15.0,,,99.0,21,2,700.0,225880.0,3894.0,,
3,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2022-07-06 01:48:02,2022-07-06 01:47:27,2562,137.0,201.0,24378,2018-11-18 11:21:02,0.13.2,3.0,,,40.0,20,2,752.0,,,,
4,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2022-08-08 11:53:21,2022-08-08 09:00:17,4819,1246.0,3746.0,23828,2022-05-09 11:48:13,2.5.0,5.0,755.0,755.0,118.0,23,1,,,,,
5,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2022-07-13 14:24:19,2019-03-31 22:03:47,9637,1771.0,818.0,22038,2018-03-19 23:26:21,2.1,3.0,,,47.0,22,2,203.0,1228026.0,21172.0,,
6,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2022-08-05 04:50:21,2022-08-05 04:48:59,5616,224.0,2853.0,21835,2021-11-15 22:08:26,0.6,10.0,689.0,689.0,212.0,22,2,,,,-1.0,
7,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2022-08-08 05:55:04,2022-08-05 02:30:07,8390,1031.0,2631.0,21294,2021-12-28 13:36:17,7.0.0,10.0,,,377.0,26,1,18089.0,57770.0,947.0,,
8,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2022-08-08 11:51:01,2022-07-28 06:57:27,6806,570.0,5572.0,20796,2022-07-28 15:43:37,2.25.1,35.0,513.0,513.0,350.0,27,1,2113.0,,,,
9,pytorch-image-models,rwightman pytorch-image-models.,https://github.com/rwightman/pytorch-image-models,rwightman/pytorch-image-models,./screenshots/pytorch-image-models.png,图像分类,True,https://github.com/rwightman/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12,2022-08-06 00:29:29,2022-08-06 00:28:56,3259,56.0,499.0,20177,2022-07-27 21:12:16,0.6.7,33.0,4035.0,4035.0,79.0,32,1,1472.0,1565454.0,40139.0,2.0,
10,pytorch-CycleGAN-and-pix2pix,junyanz pytorch-CycleGAN-and-pix2pix.,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,junyanz/pytorch-CycleGAN-and-pix2pix,./screenshots/pytorch-CycleGAN-and-pix2pix.png,图图转换ImageTranslation,True,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,,2017-04-18 10:33:05,2022-07-17 09:19:28,2022-07-04 16:50:44,5225,422.0,897.0,18107,,,,,,66.0,16,1,507.0,,,,
11,labelImg,tzutalin labelImg.,https://github.com/tzutalin/labelImg,tzutalin/labelImg,./screenshots/labelImg.jpeg,目标检测,True,https://github.com/heartexlabs/labelImg,MIT,2015-09-17 01:33:59,2022-08-02 18:25:52,2022-07-10 02:53:33,5302,335.0,349.0,18035,2018-12-03 05:40:38,1.8.1,2.0,571.0,571.0,108.0,24,1,448.0,,,,heartexlabs/labelImg
12,EasyOCR,JaidedAI EasyOCR.,https://github.com/JaidedAI/EasyOCR,JaidedAI/EasyOCR,./screenshots/EasyOCR.png,OCR文字识别,True,https://github.com/JaidedAI/EasyOCR,Apache-2.0,2020-03-14 11:46:39,2022-08-06 01:10:38,2022-08-06 01:10:38,2130,113.0,513.0,15493,2022-06-02 03:32:56,1.5.0,17.0,1421.0,1421.0,104.0,31,1,527.0,1951382.0,75053.0,2.0,
13,openface,cmusatyalab openface.,https://github.com/cmusatyalab/openface,cmusatyalab/openface,./screenshots/openface.jpeg,人脸检测与识别,True,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2022-05-26 21:07:02,2019-11-26 15:56:28,3453,7.0,369.0,14467,2016-02-25 17:42:46,0.2.1,4.0,,,30.0,19,2,734.0,,,,
14,facenet,davidsandberg facenet.,https://github.com/davidsandberg/facenet,davidsandberg/facenet,./screenshots/facenet.jpeg,人脸检测与识别,True,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2022-05-26 20:13:19,2018-04-16 17:32:11,4615,490.0,615.0,12629,,,,,,36.0,17,3,566.0,,,-1.0,
15,PyTorch-GAN,eriklindernoren PyTorch-GAN.,https://github.com/eriklindernoren/PyTorch-GAN,eriklindernoren/PyTorch-GAN,./screenshots/PyTorch-GAN.png,生成对抗网络GAN,True,https://github.com/eriklindernoren/PyTorch-GAN,MIT,2018-04-21 13:06:40,2022-07-05 08:50:33,2021-01-06 16:32:26,3424,97.0,46.0,12563,,,,,,10.0,17,2,193.0,,,,
16,the-gan-zoo,hindupuravinash the-gan-zoo.,https://github.com/hindupuravinash/the-gan-zoo,hindupuravinash/the-gan-zoo,./screenshots/the-gan-zoo.jpeg,生成对抗网络GAN,True,https://github.com/hindupuravinash/the-gan-zoo,MIT,2017-04-14 16:45:24,2022-06-21 21:27:51,2018-09-30 20:02:46,2352,16.0,16.0,12432,,,,,,23.0,18,1,175.0,,,,
17,nni,microsoft nni.,https://github.com/microsoft/nni,microsoft/nni,./screenshots/nni.png,模型压缩与优化,True,https://github.com/microsoft/nni,MIT,2018-06-01 05:51:44,2022-08-08 11:06:34,2022-08-08 02:45:33,1630,307.0,1374.0,11782,2022-06-22 04:57:13,2.8,36.0,255.0,255.0,179.0,26,1,2763.0,,,,
18,libfacedetection,ShiqiYu libfacedetection.,https://github.com/ShiqiYu/libfacedetection,ShiqiYu/libfacedetection,./screenshots/libfacedetection.png,人脸检测与识别,True,https://github.com/ShiqiYu/libfacedetection,,2015-01-20 07:47:20,2022-07-05 03:29:43,2022-07-05 03:29:43,2905,39.0,257.0,11142,2021-09-24 16:29:39,3.0,2.0,,,23.0,17,3,190.0,,,-1.0,
19,Vision-Transformer,lucidrains vit-pytorch.,https://github.com/lucidrains/vit-pytorch,lucidrains/vit-pytorch,./screenshots/Vision-Transformer.png,图像分类,True,https://github.com/lucidrains/vit-pytorch,MIT,2020-10-03 22:47:24,2022-07-27 15:58:18,2022-07-27 15:58:18,1796,90.0,102.0,11027,2022-07-16 23:22:50,0.35.8,100.0,131.0,131.0,15.0,21,2,,,,,
20,deep_learning_object_detection,hoya012 deep_learning_object_detection.,https://github.com/hoya012/deep_learning_object_detection,hoya012/deep_learning_object_detection,./screenshots/deep_learning_object_detection.png,目标检测,True,https://github.com/hoya012/deep_learning_object_detection,,2018-09-18 01:37:58,2021-11-17 07:19:22,2021-11-17 07:19:22,2759,4.0,23.0,10733,,,,,,9.0,13,3,144.0,,,,
21,ganhacks,soumith ganhacks.,https://github.com/soumith/ganhacks,soumith/ganhacks,./screenshots/ganhacks.png,生成对抗网络GAN,True,https://github.com/soumith/ganhacks,,2016-12-09 16:09:27,2022-01-09 06:29:17,2020-03-05 00:50:04,1607,49.0,15.0,10612,,,,,,3.0,12,3,6.0,,,,
22,facebookresearch-detr,facebookresearch detr.,https://github.com/facebookresearch/detr,facebookresearch/detr,./screenshots/facebookresearch-detr.png,目标检测,True,https://github.com/facebookresearch/detr,Apache-2.0,2020-05-26 23:54:52,2022-08-03 05:25:33,2022-03-07 12:59:53,1638,169.0,272.0,9512,2020-06-29 16:41:01,0.2,1.0,,,25.0,17,3,42.0,,,,
23,awesome-semantic-segmentation,awesome-semantic-segmentation.,https://github.com/mrgloom/awesome-semantic-segmentation,mrgloom/awesome-semantic-segmentation,./screenshots/awesome-semantic-segmentation.jpeg,图像分割,True,https://github.com/mrgloom/awesome-semantic-segmentation,,2015-10-03 10:07:34,2021-05-08 13:40:11,2021-03-08 14:36:09,2291,6.0,19.0,9441,,,,,,16.0,14,3,417.0,,,,
24,chineseocr_lite,DayBreak-u chineseocr_lite.,https://github.com/DayBreak-u/chineseocr_lite,DayBreak-u/chineseocr_lite,./screenshots/chineseocr_lite.png,OCR文字识别,True,https://github.com/DayBreak-u/chineseocr_lite,GPL-2.0,2020-02-27 10:01:29,2022-07-25 11:12:32,2022-07-14 07:30:40,1894,216.0,118.0,9404,,,,,,13.0,15,2,34.0,,,,
25,pix2pix,phillipi pix2pix.,https://github.com/phillipi/pix2pix,phillipi/pix2pix,./screenshots/pix2pix.jpeg,图图转换ImageTranslation,True,https://github.com/phillipi/pix2pix,,2016-11-16 22:48:50,2021-06-06 12:09:47,2020-08-05 01:16:42,1580,80.0,119.0,9072,,,,,,17.0,13,2,130.0,,,,
26,Keras-GAN,eriklindernoren Keras-GAN.,https://github.com/eriklindernoren/Keras-GAN,eriklindernoren/Keras-GAN,./screenshots/Keras-GAN.png,生成对抗网络GAN,True,https://github.com/eriklindernoren/Keras-GAN,MIT,2017-07-11 16:24:53,2022-06-10 11:27:32,2021-01-06 16:32:52,3028,121.0,99.0,8734,,,,,,16.0,17,2,185.0,,,,
27,PaddleDetection,PaddleDetection.,https://github.com/PaddlePaddle/PaddleDetection,PaddlePaddle/PaddleDetection,./screenshots/PaddleDetection.jpeg,目标检测,True,https://github.com/PaddlePaddle/PaddleDetection,Apache-2.0,2019-10-25 07:21:14,2022-08-08 09:32:29,2022-08-04 03:25:58,2081,731.0,3021.0,8219,2022-04-24 03:51:25,2.4.0,6.0,26.0,26.0,104.0,21,3,,,,,
28,carla,carla-simulator carla.,https://github.com/carla-simulator/carla,carla-simulator/carla,./screenshots/carla.jpeg,自动驾驶,True,https://github.com/carla-simulator/carla,,2017-10-24 09:06:23,2022-08-05 11:27:13,2021-11-19 11:13:47,2349,613.0,3341.0,8084,2021-11-16 19:51:12,0.9.13,24.0,219.0,219.0,138.0,22,2,5439.0,,,-2.0,
29,vid2vid,NVIDIA vid2vid.,https://github.com/NVIDIA/vid2vid,NVIDIA/vid2vid,./screenshots/vid2vid.gif,图图转换ImageTranslation,True,https://github.com/NVIDIA/vid2vid,,2018-08-14 23:27:15,2022-05-17 05:09:30,2019-07-03 21:49:56,1147,96.0,64.0,8030,,,,,,4.0,12,3,65.0,,,,
30,CenterNet,xingyizhou-CenterNet.,https://github.com/xingyizhou/CenterNet,xingyizhou/CenterNet,./screenshots/xingyizhou-CenterNet.jpeg,目标检测,True,https://github.com/xingyizhou/CenterNet,MIT,2019-04-16 18:39:13,2021-11-11 12:47:50,2020-06-22 00:53:44,1791,409.0,557.0,6534,,,,,,14.0,14,3,50.0,,,,
31,Ultra-Light-Fast-Generic-Face-Detector-1MB,Linzaer Ultra-Light-Fast-Generic-Face-Detector-1MB.,https://github.com/Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB,Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB,./screenshots/Ultra-Light-Fast-Generic-Face-Detector-1MB.jpeg,人脸检测与识别,True,https://github.com/Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB,MIT,2019-10-10 07:40:48,2022-02-10 06:24:50,2022-02-10 06:24:50,1442,112.0,140.0,6433,,,,,,16.0,15,3,189.0,,,,
32,UGATIT,taki0112 UGATIT.,https://github.com/taki0112/UGATIT,taki0112/UGATIT,./screenshots/UGATIT.png,图图转换ImageTranslation,True,https://github.com/taki0112/UGATIT,MIT,2019-07-26 00:33:54,2021-05-20 03:23:05,2020-01-16 10:15:30,985,51.0,62.0,6114,,,,,,3.0,13,2,50.0,,,,
33,U-2-Net,xuebinqin-U-2-Net.,https://github.com/xuebinqin/U-2-Net,xuebinqin/U-2-Net,./screenshots/xuebinqin-U-2-Net.png,目标检测,True,https://github.com/xuebinqin/U-2-Net,Apache-2.0,2020-05-04 17:10:28,2022-07-21 17:06:33,2022-07-13 16:41:48,1033,172.0,109.0,5973,,,,,,13.0,15,3,276.0,,,,
