,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,commit_count,github_release_downloads,monthly_downloads,updated_github_id,trending
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2023-02-10 11:13:33,2023-02-10 11:13:26,7881,368.0,2096.0,49088,2022-12-22 14:16:22,5.3.0,24.0,1.0,1.0,197.0,20,2,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2023-02-08 00:43:23,2022-06-10 09:12:18,12462,678.0,571.0,47269,2018-04-02 17:18:43,1.2.2,2.0,,,54.0,21,2,238.0,729.0,10.0,,
2,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2023-02-13 03:17:59,2023-02-07 06:38:26,5699,1192.0,5214.0,28123,2022-08-24 09:04:27,2.6.0,6.0,1146.0,1146.0,126.0,23,1,,,,,
3,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2022-12-05 08:40:38,2022-10-23 22:36:13,7198,202.0,1638.0,25915,2020-11-17 05:48:13,1.7.0,15.0,,,101.0,21,2,705.0,243310.0,3801.0,,
4,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2023-02-05 04:22:39,2023-02-05 04:22:25,2633,144.0,203.0,25586,2018-11-18 11:21:02,0.13.2,3.0,,,40.0,20,2,754.0,,,,
5,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2023-02-13 11:12:16,2023-02-10 05:02:04,6093,265.0,2944.0,23558,2021-11-15 22:08:26,0.6,10.0,888.0,888.0,232.0,23,2,,,,,
6,pytorch-image-models,rwightman pytorch-image-models.,https://github.com/rwightman/pytorch-image-models,rwightman/pytorch-image-models,./screenshots/pytorch-image-models.png,图像分类,True,https://github.com/rwightman/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12,2023-02-10 11:33:52,2023-02-10 01:47:26,3804,63.0,595.0,23434,2022-11-23 22:11:26,0.6.12,40.0,7888.0,7888.0,92.0,30,1,,3088287.0,68628.0,,
7,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2023-02-13 08:32:15,2023-02-01 11:29:57,7493,498.0,6177.0,22921,2023-02-01 12:18:43,2.28.1,47.0,946.0,946.0,390.0,28,1,2191.0,,,,
8,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2022-12-28 13:15:48,2019-03-31 22:03:47,9798,1814.0,830.0,22651,2018-03-19 23:26:21,2.1,3.0,,,47.0,22,2,203.0,1316080.0,20563.0,,
9,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2023-02-01 07:09:54,2023-01-05 14:52:51,8725,433.0,3407.0,22272,2022-12-25 10:21:56,8.0.0,11.0,,,387.0,27,1,18827.0,61049.0,911.0,,
