,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,commit_count,github_release_downloads,monthly_downloads,trending,updated_github_id
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2022-07-02 10:50:08,2022-06-26 17:27:48,7614,332.0,2021.0,45767,2022-03-01 16:33:53,5.1.0,21.0,1.0,1.0,200.0,20,2,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2022-07-03 20:59:24,2022-06-10 09:12:18,12080,658.0,560.0,45072,2018-04-02 17:18:43,1.2.2,2.0,,,54.0,21,2,238.0,466.0,7.0,,
2,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2022-06-20 11:16:19,2022-06-19 20:28:30,6944,157.0,1634.0,24482,2020-11-17 05:48:13,1.7.0,15.0,,,99.0,21,2,700.0,220171.0,3862.0,,
3,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2021-10-30 17:37:48,2021-06-03 21:52:26,2548,137.0,200.0,24160,2018-11-18 11:21:02,0.13.2,3.0,,,39.0,19,2,746.0,,,,
4,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2022-07-04 12:05:23,2022-07-04 09:43:06,4648,1115.0,3620.0,23074,2022-05-09 11:48:13,2.5.0,5.0,710.0,710.0,115.0,23,1,,,,,
5,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2022-07-02 10:35:53,2019-03-31 22:03:47,9602,1763.0,817.0,21888,2018-03-19 23:26:21,2.1,3.0,,,47.0,22,2,203.0,1207537.0,21184.0,,
6,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2022-06-30 22:47:40,2022-06-16 03:34:41,5509,190.0,2838.0,21388,2021-11-15 22:08:26,0.6,10.0,651.0,651.0,208.0,22,2,,,,-1.0,
7,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2022-07-04 09:19:29,2022-06-22 06:08:09,8278,1138.0,2496.0,21034,2021-12-28 13:36:17,7.0.0,10.0,,,376.0,26,1,18080.0,56888.0,948.0,,
8,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2022-07-03 14:08:49,2022-06-29 03:06:58,6678,578.0,5431.0,20311,2022-06-01 14:16:46,2.25.0,34.0,447.0,447.0,343.0,27,1,2092.0,,,,
9,pytorch-image-models,rwightman pytorch-image-models.,https://github.com/rwightman/pytorch-image-models,rwightman/pytorch-image-models,./screenshots/pytorch-image-models.png,图像分类,True,https://github.com/rwightman/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12,2022-07-03 18:45:28,2022-06-25 14:37:59,3150,55.0,468.0,19426,2022-04-03 22:14:28,0.1-weights-swin2,31.0,3580.0,3580.0,76.0,30,1,1400.0,1394234.0,36690.0,,
10,pytorch-CycleGAN-and-pix2pix,junyanz pytorch-CycleGAN-and-pix2pix.,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,junyanz/pytorch-CycleGAN-and-pix2pix,./screenshots/pytorch-CycleGAN-and-pix2pix.png,图图转换ImageTranslation,True,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,,2017-04-18 10:33:05,2022-04-28 01:39:02,2022-01-14 00:08:06,5175,407.0,892.0,17869,,,,,,65.0,15,1,505.0,,,-1.0,
11,labelImg,tzutalin labelImg.,https://github.com/tzutalin/labelImg,tzutalin/labelImg,./screenshots/labelImg.jpeg,目标检测,True,https://github.com/tzutalin/labelImg,MIT,2015-09-17 01:33:59,2022-07-04 08:25:34,2022-06-19 06:38:03,5245,321.0,347.0,17723,2018-12-03 05:40:38,1.8.1,2.0,545.0,545.0,106.0,24,1,445.0,,,,
12,EasyOCR,JaidedAI EasyOCR.,https://github.com/JaidedAI/EasyOCR,JaidedAI/EasyOCR,./screenshots/EasyOCR.png,OCR文字识别,True,https://github.com/JaidedAI/EasyOCR,Apache-2.0,2020-03-14 11:46:39,2022-07-03 20:58:39,2022-06-23 03:32:05,2077,132.0,460.0,15186,2022-06-02 03:32:56,1.5.0,17.0,1314.0,1314.0,102.0,31,1,515.0,1777780.0,71111.0,2.0,
13,openface,cmusatyalab openface.,https://github.com/cmusatyalab/openface,cmusatyalab/openface,./screenshots/openface.jpeg,人脸检测与识别,True,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2022-05-26 21:07:02,2019-11-26 15:56:28,3450,7.0,369.0,14422,2016-02-25 17:42:46,0.2.1,4.0,,,30.0,20,2,734.0,,,,
14,facenet,davidsandberg facenet.,https://github.com/davidsandberg/facenet,davidsandberg/facenet,./screenshots/facenet.jpeg,人脸检测与识别,True,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2022-05-26 20:13:19,2018-04-16 17:32:11,4603,488.0,615.0,12570,,,,,,36.0,18,3,566.0,,,,
15,PyTorch-GAN,eriklindernoren PyTorch-GAN.,https://github.com/eriklindernoren/PyTorch-GAN,eriklindernoren/PyTorch-GAN,./screenshots/PyTorch-GAN.png,生成对抗网络GAN,True,https://github.com/eriklindernoren/PyTorch-GAN,MIT,2018-04-21 13:06:40,2022-06-29 03:55:16,2021-01-06 16:32:26,3393,98.0,45.0,12340,,,,,,10.0,17,2,193.0,,,,
16,the-gan-zoo,hindupuravinash the-gan-zoo.,https://github.com/hindupuravinash/the-gan-zoo,hindupuravinash/the-gan-zoo,./screenshots/the-gan-zoo.jpeg,生成对抗网络GAN,True,https://github.com/hindupuravinash/the-gan-zoo,MIT,2017-04-14 16:45:24,2022-06-21 21:27:51,2018-09-30 20:02:46,2342,16.0,16.0,12319,,,,,,23.0,18,1,175.0,,,,
17,nni,microsoft nni.,https://github.com/microsoft/nni,microsoft/nni,./screenshots/nni.png,模型压缩与优化,True,https://github.com/microsoft/nni,MIT,2018-06-01 05:51:44,2022-07-04 09:57:18,2022-07-01 09:03:41,1618,296.0,1356.0,11650,2022-06-22 04:57:13,2.8,36.0,241.0,241.0,172.0,26,1,2732.0,,,,
18,libfacedetection,ShiqiYu libfacedetection.,https://github.com/ShiqiYu/libfacedetection,ShiqiYu/libfacedetection,./screenshots/libfacedetection.png,人脸检测与识别,True,https://github.com/ShiqiYu/libfacedetection,,2015-01-20 07:47:20,2022-05-16 04:58:20,2021-11-20 16:12:16,2901,37.0,256.0,11094,2021-09-24 16:29:39,3.0,2.0,,,23.0,17,3,189.0,,,-1.0,
19,deep_learning_object_detection,hoya012 deep_learning_object_detection.,https://github.com/hoya012/deep_learning_object_detection,hoya012/deep_learning_object_detection,./screenshots/deep_learning_object_detection.png,目标检测,True,https://github.com/hoya012/deep_learning_object_detection,,2018-09-18 01:37:58,2021-11-17 07:19:22,2021-11-17 07:19:22,2758,4.0,23.0,10696,,,,,,9.0,13,3,144.0,,,,
20,Vision-Transformer,lucidrains vit-pytorch.,https://github.com/lucidrains/vit-pytorch,lucidrains/vit-pytorch,./screenshots/Vision-Transformer.png,图像分类,True,https://github.com/lucidrains/vit-pytorch,MIT,2020-10-03 22:47:24,2022-06-30 15:11:29,2022-06-30 15:11:17,1730,87.0,100.0,10641,2022-06-30 15:11:30,0.35.7,100.0,123.0,123.0,15.0,21,2,,,,2.0,
21,ganhacks,soumith ganhacks.,https://github.com/soumith/ganhacks,soumith/ganhacks,./screenshots/ganhacks.png,生成对抗网络GAN,True,https://github.com/soumith/ganhacks,,2016-12-09 16:09:27,2022-01-09 06:29:17,2020-03-05 00:50:04,1610,49.0,15.0,10577,,,,,,3.0,12,3,6.0,,,,
